,Title,Published_date,Views,Likes,Comments,Month,ID
0,Pagani Zonda Cinque - Forza Horizon 5 | Thrustmaster T300RS,2022-07-04T13:40:26Z,80647,3764,166,Jul,1a_aFUahugA
1,Jeep Rescue - BeamNG.drive | Thrustmaster T300RS,2022-07-01T10:15:50Z,61594,2614,103,Jul,Y-PApGbDNto
2,600BHP Volkswagen Golf R - Forza Horizon 5 | Thrustmaster T300RS,2022-06-28T01:51:16Z,157863,4535,169,Jun,WH59bqhZjlE
3,A scenic drive through Austria - Euro Truck Simulator 2 | Thrustmaster T300RS,2022-06-24T19:49:26Z,99919,3283,119,Jun,T1UDypf6Mb4
4,Subaru STI S209 - Forza Horizon 5 | Thrustmaster T300RS,2022-06-21T13:18:37Z,373045,6716,218,Jun,hGW74TfjgAU
5,Test Driving BeamNG's new Supercar | Thrustmaster T300RS,2022-06-18T16:37:19Z,165481,5279,194,Jun,eOQFswn6Oak
6,Audi RS5 - Forza Horizon 5 | Thrustmaster T300RS gameplay,2022-06-14T09:27:23Z,188935,4740,171,Jun,roIY5aIAjlE
7,"Million Dollar Highway, Colorado - American Truck Simulator | Thrustmaster T300RS",2022-06-11T17:25:25Z,225564,5409,163,Jun,h6m9JwL5QDg
8,Modified 1975 Datsun 280Z - Forza Horizon 5 | Thrustmaster T300RS,2022-06-07T09:33:45Z,123583,4012,145,Jun,ZAyQ09z5cqA
9,The Bus - Line 100 | Thrustmaster T300 gameplay,2022-06-04T18:17:33Z,186306,4379,143,Jun,VWqMwb8IRp8
10,Ford Crown Victoria - Forza Horizon 5 | Thrustmaster T300RS,2022-05-30T20:36:53Z,103271,4010,170,May,KDHt8_o34tw
11,Through Romania - Euro Truck Simulator 2 | Thrustmaster T300RS,2022-05-23T15:29:09Z,456326,8954,262,May,iICXWHx1BX0
12,700HP Ford Mustang GT Supercharged - Forza Horizon 5 | Thrustmaster T300RS,2022-05-19T14:49:33Z,389992,7781,190,May,WBHJj2e6ftw
13,F1 22 Miami Race | Thrustmaster T300RS gameplay,2022-05-15T08:29:08Z,105236,3654,91,May,CWWhLy3tU7g
14,Porsche 911 Speedster - Forza Horizon 5 | Thrustmaster T300RS,2022-05-12T06:31:44Z,369782,7988,216,May,nX7NcUEoQec
15,Heavy haulage through the Austrian mountains - Euro Truck Simulator 2 | Thrustmaster T300RS,2022-05-08T07:38:23Z,494515,8945,248,May,4QQPRsO8Nlc
16,Bugatti Chiron - Forza Horizon 5 | Thrustmaster T300RS gameplay,2022-05-02T09:55:01Z,1730996,23874,567,May,IofBWge5-As
17,Oversized Helicopter Transport - American Truck Simulator | Thrustmaster T300RS,2022-04-28T14:27:14Z,236519,5572,149,Apr,3T0rhUXsN-4
18,McLaren 620R - Forza Horizon 5 | Thrustmaster T300RS gameplay,2022-04-23T14:41:38Z,232966,6554,189,Apr,_qx-lksyoFI
19,Lexus IS-F at Shuto Expressway - Assetto Corsa | Thrustmaster T300RS gameplay,2022-04-19T09:08:18Z,82134,2838,104,Apr,vEurJAuzvcE
20,2021 Mini Cooper GP - Forza Horizon 5 | Thrustmaster T300RS,2022-04-15T17:30:00Z,150447,5053,179,Apr,62n93v3q58o
21,Midnight Oil Job - SnowRunner | Thrustmaster T300RS,2022-04-11T17:32:55Z,95931,3606,140,Apr,FWkczYKMWkk
22,BMW F82 M4 - Forza Horizon 5 | Thrustmaster T300RS,2022-04-07T17:04:04Z,366002,8128,218,Apr,z0Lf194HSKc
23,International 9900i - American Truck Simulator | Thrustmaster T300RS,2022-04-03T07:30:03Z,627228,10570,230,Apr,4tfWCZ5VpB0
24,Nissan GTR NISMO 1000HP Build - Forza Horizon 5 | Thrustmaster T300RS,2022-03-30T20:15:42Z,2824422,46595,737,Mar,L-vCZgRIhY8
25,Subaru Impreza STi - Dirt Rally 2.0 | Thrustmaster T300RS gameplay,2022-03-26T17:33:53Z,413789,9373,212,Mar,n7AS-6CLMBQ
26,730HP Audi RS7 Sportback - Forza Horizon 5 | Thrustmaster T300RS,2022-03-23T11:29:53Z,304621,7665,178,Mar,TecYEWXkEKU
27,550HP BMW M2 - Assetto Corsa | Thrustmaster T300RS gameplay,2022-03-19T22:24:28Z,369428,10704,266,Mar,kwT7oeFE5dY
28,Porsche 911 Sport Classic - Forza Horizon 5 | Thrustmaster T300RS,2022-03-14T15:30:01Z,120556,4823,152,Mar,dWznubLbLkc
29,Nissan 350Z at London - Grid Legends | Thrustmaster TX gameplay,2022-03-11T12:30:55Z,61412,2741,105,Mar,03tCe41OUKg
30,Mercedes-Benz C63 AMG - Forza Horizon 5 | Thrustmaster TX gameplay,2022-03-07T16:54:23Z,203738,6431,199,Mar,z5yt34sEFII
31,Japan Mountain Touge in a 2022 Subaru BRZ - Assetto Corsa | Thrustmaster TX,2022-03-03T17:31:11Z,67453,3033,136,Mar,t5BOM_2LvT4
32,Pomezania Map - Euro Truck Simulator 2 | Thrustmaster TX gameplay,2022-02-25T06:18:15Z,224268,6511,177,Feb,ZECG7miUb3w
33,1000HP Porsche Taycan Turbo S - Forza Horizon 5 | Thrustmaster TX gameplay,2022-02-21T13:29:28Z,191682,6774,234,Feb,Uy_HJ1qaS5M
34,My Truck Game - Early acess gameplay | Thrustmaster TX,2022-02-17T08:19:41Z,878360,18932,378,Feb,bWUud-dc788
35,Ferrari 430 Scuderia - Forza Horizon 5 | Thrustmaster TX gameplay,2022-02-13T15:50:51Z,222463,7313,205,Feb,kDsUJt1jZvc
36,Night Drive - The Bus 2021 | Thrustmaster TX gameplay,2022-02-09T06:39:29Z,425937,8936,217,Feb,IYnEZfuHUOM
