,Title,Published_date,Views,Likes,Comments,Month,ID
0,"We Have 15 Minutes to Loot a Loadout, Then We 1V1! | Datto",2022-07-06T16:00:10Z,74601,6170,337,Jul,Kq6LRRuY0bk
1,JUNKER QUEEN Gun Game | Overwatch 2,2022-07-04T16:00:17Z,45034,2775,67,Jul,d_Bh8xw4oUk
2,Junker Queen in a Nutshell,2022-06-30T18:00:09Z,61970,4095,194,Jun,FhM2y8y9IP8
3,Aztecross & Frostbolt asked ME for a Trials Carry,2022-06-28T16:00:30Z,55640,4051,136,Jun,wYw3lC_FgfY
4,"We Have 15 Minutes to Loot a Loadout, Then We 1V1!",2022-06-26T18:00:09Z,135174,9494,561,Jun,WaaYlZsF45c
5,Hunting for the BEST Destiny 2 Gun ft. Duty Bound,2022-06-24T19:00:04Z,37135,2428,140,Jun,8HxNBS5jfpg
6,Destiny 2 PSA: The Firefright Is TERRIFYING,2022-06-20T16:00:26Z,46908,3146,192,Jun,YD-nKB4tUzA
7,We broke the record for WINS IN A ROW | Apex Legends,2022-06-17T16:00:28Z,42462,3571,127,Jun,q12QrvgI5AQ
8,Destiny 2's New Trials Sidearm is INSANE,2022-06-15T16:00:37Z,35250,2661,168,Jun,xvvOqT21KPI
9,Reworked Bastion's a TERROR | Overwatch 2 Custom Games,2022-06-12T16:00:26Z,50600,3420,92,Jun,yS3x2KbcoUk
10,Orisa Paintball made him RAGE QUIT | Overwatch 2 Custom Games,2022-06-11T16:00:01Z,54151,3753,107,Jun,a9k-3IzuMtE
11,I Made A BIG Mistake | Destiny 2 - The Dream Team,2022-06-09T16:00:28Z,62914,3770,199,Jun,bUYo7HbqkVs
12,New Purpose is the GODLIEST Pulse Rifle | Destiny 2 Review,2022-06-07T16:00:07Z,53122,3157,133,Jun,994Xggh2G70
13,You vs the Hero Shooter she tells you not to worry about,2022-06-05T16:00:15Z,46579,2735,137,Jun,Im4HpvFeZkc
14,Players are DIVIDED about new Iron Banner | Destiny 2,2022-06-02T16:00:18Z,56896,3484,261,Jun,g30nPDNYv90
15,COMPLETE Duality Dungeon | Destiny 2 - The Dream Team,2022-05-30T23:00:02Z,108103,4735,194,May,Cb_8MOQADsg
16,NEW Heartshadow Exotic Dungeon Sword | Destiny 2 Review,2022-05-28T16:00:01Z,56841,3158,157,May,32E21KfJAbk
17,So the NEW Austringer is game breaking... | Destiny 2 Review,2022-05-27T16:00:20Z,62605,3671,204,May,kVATsEXeLjs
18,You NEED this Calus Mini Tool God Roll | Destiny 2 Review,2022-05-26T16:00:05Z,83015,3616,196,May,9mKL1c-3hFk
19,The NEW Trespasser Exotic Sidearm | Destiny 2 Review,2022-05-25T17:00:09Z,50778,3524,198,May,ItSDW_basUQ
20,FINALE -THE DREAM TEAM Summer Games 2022 | Destiny 2,2022-05-24T16:00:24Z,48375,3368,138,May,oMV-WxCs6gw
21,THE DREAM TEAM Summer Games 2022 | Destiny 2,2022-05-23T18:15:02Z,74777,5174,247,May,VYrpTA3Lo6g
22,How I destroyed the newest quests update | Hunt: Showdown,2022-05-19T20:00:02Z,28938,2329,101,May,ABXP6SMMvaE
23,Trolling my friends as a Demon | Evil Dead: The Game,2022-05-19T16:00:34Z,43139,3355,103,May,v03dlXd8eds
24,"This is Guardian Games 2022 | ft. Datto, Aztecross & Frostbolt",2022-05-15T17:00:13Z,84027,5960,196,May,VJ8g_HROH6A
25,The BEST Mobile Shooter!? (NOT sponsored),2022-05-13T16:00:01Z,34564,3200,217,May,36a_TYLwZPM
26,The only YouTube video you need to watch,2022-05-12T16:00:08Z,64076,5511,390,May,EmXBpUplpU8
27,World War 3 is the REAL Battlefield 2042!?,2022-05-10T16:00:04Z,62719,3796,123,May,3FLKPaPNfn0
28,Playing every Overwatch 2 custom game,2022-05-09T16:00:13Z,58953,3941,102,May,SSf1ViY7vK4
29,"Halo Infinite's NEW ""Battle Royale""",2022-05-05T16:15:00Z,83364,4410,249,May,KKkpPdcGafk
30,"""ROLE QUEUE"" Gun Game | Overwatch 2",2022-05-03T17:00:03Z,87925,5574,187,May,AjFYSpvFKKs
31,The RETURN of Gun Game: Overwatch 2 Edition,2022-05-02T16:00:28Z,151572,9544,371,May,PmZhzkdwqao
32,We made TimTheTatMan rage quit Overwatch 2,2022-04-29T16:00:12Z,117351,8857,422,Apr,MNZo7IU1i9U
33,What 100 Hours on Sojourn looks like | Overwatch 2,2022-04-27T17:00:18Z,105142,6251,303,Apr,XYLka4q9G80
34,Playing the most controversial FPS,2022-04-24T16:00:22Z,70948,3962,152,Apr,QkYPmZ-wSEA
35,I played Overwatch for the first time in 2 YEARS,2022-04-22T18:00:30Z,84736,5757,284,Apr,vgSbb8FjT00
36,Let's talk about Destiny 2,2022-04-20T16:00:18Z,68153,4713,423,Apr,gWaXbgn_F_E
37,Playing Genji in Gundam Evolution,2022-04-18T16:00:24Z,68461,3513,217,Apr,vpvdVLBjoB8
38,Gundam Evolution is lowkey 🔥,2022-04-16T16:00:25Z,58817,3631,195,Apr,RCYGZIYvIrQ
39,Gundam Evolution aka Anime Overwatch,2022-04-14T16:00:08Z,89627,5248,309,Apr,KC19KlDnOEk
40,Can you REFUND a Trials carry service? | w/ IFrostbolt & Coolguy,2022-04-12T16:00:04Z,59047,3627,136,Apr,9otr4F9HY0E
41,This New Free to Play FPS will be HUGE,2022-04-10T16:00:28Z,61964,3630,188,Apr,yFYDcNWcBAU
42,Datto challenged me to the HARDEST Grandmaster Nightfall,2022-04-08T16:00:16Z,105692,5543,160,Apr,JQBbbcqphaA
43,The Overwatch 2 waiting room,2022-04-06T16:00:32Z,70373,5177,269,Apr,gitTkBAv3vw
44,My new FPS addiction,2022-04-04T16:00:30Z,122808,4969,188,Apr,fWYhSy2DUGk
