,Title,Published_date,Views,Likes,Comments,Month,ID
0,PUBG: Funny & WTF Moments Ep. 643,2022-01-05T18:00:24Z,170343,4972,141,Jan,PmR_Z0Af_BY
1,PUBG: Funny & WTF Moments Ep. 642,2021-12-16T18:00:05Z,132936,3741,114,Dec,DqL3g8zZwSc
2,PUBG: Funny & WTF Moments Ep. 641,2021-11-25T16:00:15Z,101840,3418,66,Nov,hRcufncaPfQ
3,PUBG: Funny & WTF Moments Ep. 640,2021-11-18T18:00:28Z,189452,4206,91,Nov,cTKCU5riOiw
4,PUBG: Funny & WTF Moments Ep. 639,2021-10-29T17:00:03Z,132562,3598,97,Oct,7FhTpqXPn6k
5,PUBG: Funny & WTF Moments Ep. 638,2021-10-05T17:00:03Z,106709,3519,98,Oct,9zPNlsW6WPg
6,PUBG: Funny & WTF Moments Ep. 637,2021-09-23T17:00:33Z,155851,4179,69,Sep,lgsGXUvTYyA
7,PUBG: Funny & WTF Moments Ep. 636,2021-09-14T17:00:07Z,99518,3255,70,Sep,IP1kr0SCYzk
8,PUBG: Funny & WTF Moments Ep. 635,2021-09-06T17:00:27Z,174310,4865,75,Sep,Uvtsz0CQ_RQ
9,PUBG: Funny & WTF Moments Ep. 634,2021-08-17T17:00:30Z,101009,3129,89,Aug,yBMT8DF43C0
10,PUBG: Funny & WTF Moments Ep. 633,2021-08-09T17:00:32Z,410087,7936,120,Aug,WBvLdD5cGXk
11,PUBG: Funny & WTF Moments Ep. 632,2021-08-02T22:01:28Z,385340,8364,129,Aug,l0DJjUu9K4Q
12,PUBG: Funny & WTF Moments Ep. 631,2021-07-29T17:00:30Z,178906,4767,121,Jul,b2S2u1sWLkM
13,PUBG: Funny & WTF Moments Ep. 630,2021-07-21T22:33:53Z,109461,3685,114,Jul,d68JBwdwIuw
14,PUBG: Funny & WTF Moments Ep. 629,2021-07-13T19:22:06Z,193593,5282,83,Jul,oojTgDWnxFk
15,PUBG: Funny & WTF Moments Ep. 628,2021-07-08T20:03:12Z,119301,3913,75,Jul,nALGGFZ2_Bg
16,PUBG: BEST CLIPS OF ALL TIME,2021-06-30T17:21:08Z,347206,9313,248,Jun,i69Lx9l2jxM
17,PUBG: Funny & WTF Moments Ep. 626,2021-04-30T17:00:07Z,327666,8405,271,Apr,KM5m47vHsoA
