,Title,Published_date,Views,Likes,Comments,Month,ID
0,This ALWAYS Annoys Me on Apex... - Apex Legends Season 13,2022-07-06T21:31:00Z,46396,2182,89,Jul,6XqVBbhXgs8
1,Playing Apex Like the Old Days... - Apex Legends Season 13,2022-07-05T21:01:00Z,59799,2549,72,Jul,IN6T4oZ_Lik
2,Only 200 IQ Individuals Main This Legend... - Apex Legends Season 13,2022-07-04T21:01:00Z,68192,2354,104,Jul,pZTvvzzD3cE
3,Apex Can Do Nothing About This! - Apex Legends Season 13,2022-07-03T21:01:00Z,74679,2575,112,Jul,7wngi6Q5HQ0
4,Only Apex Gives You This Reaction... - Apex Legends Season 13,2022-07-02T21:01:00Z,59886,2428,74,Jul,VhxSf85nt-8
5,The Most Underwhelming Buff of ALL TIME! - Apex Legends Season 13,2022-07-01T21:31:00Z,66130,2457,130,Jul,0CY4FlhGUfQ
6,Platinum is the NEW Diamond... - Apex Legends Season 13 Ranked,2022-06-27T22:01:00Z,83408,3113,105,Jun,CZR9dWTl4-I
7,The New Ranked is a No Solo Zone! - Apex Legends Ranked Season 13,2022-06-26T20:01:00Z,95497,2909,204,Jun,h731JP7Abt0
8,The NEXT Legend I Need to Master... - Apex Legends Season 13,2022-06-23T21:31:00Z,83070,2838,131,Jun,_n2oyGu4vXo
9,🔴 - NEW Valkyrie Heirloom Unlock and Gameplay LIVE!,2022-06-21T20:08:58Z,120197,3300,76,Jun,xMe6Q3JwbKE
10,The Seer Problem... - Apex Legends Season 13,2022-06-20T21:01:00Z,92652,3115,123,Jun,rMj1kXdLUVU
11,This Should Never Happen on Apex... - Apex Legends Season 13,2022-06-18T19:01:00Z,74618,2796,94,Jun,5BOAfeuEJuw
12,Apex's NEW Heirloom is Here! - Apex Legends Awakening Event and Patch Notes,2022-06-16T17:46:00Z,91261,3848,189,Jun,bBAEbUyLTQw
13,This is Apex's FINAL BOSS! - Apex Legends Season 13,2022-06-15T19:01:00Z,88409,3480,161,Jun,s2a17PHBess
14,This is Apex's Current Problem... - Apex Legends Season 13,2022-06-13T20:31:00Z,89481,3190,209,Jun,qow6kHOPhfA
15,You Can ONLY Do This With a Sentinel... - Apex Legends Season 13,2022-06-12T19:01:00Z,94093,3199,140,Jun,0iL8gl7Jrb8
16,I Bought the Rarest Skin in Apex Then Completely Forgot About It... - Apex Legends Season 13,2022-06-11T20:31:00Z,80546,2723,68,Jun,X2vpWTEVYos
17,The Super Secret Thermite Strat… - Apex Legends Season 13,2022-06-10T20:01:00Z,99166,3536,169,Jun,v1eZo4u020M
18,THIS is Why I Main Pathfinder... - Apex Legends Season 13,2022-06-09T21:01:00Z,77422,2967,138,Jun,CKnIzbWJ9X0
19,There's No Way They Buff This Legend... - Apex Legends Season 13,2022-06-08T20:31:00Z,89493,3156,160,Jun,2-KLZ4uJSZg
20,Why Rampart is my Secret Weapon for Season 13... - Apex Legends,2022-06-07T20:01:00Z,79104,2999,143,Jun,OE7BuL8jK2M
21,This is What it Takes to Win on Apex Now... - Apex Legends Season 13,2022-06-06T21:05:00Z,91952,2830,121,Jun,cuXb6g_0VxE
22,Bangalore is STILL Top Tier... Apex Legends Season 13,2022-06-05T21:01:01Z,81640,3034,112,Jun,SHS-_pfH5QU
23,My Apex Back Up Main... - Apex Legends Season 13,2022-06-04T21:01:00Z,87876,2974,123,Jun,XLqbZ6LQKF0
24,Sometimes You Have to 1v6... - Apex Legends Season 13,2022-06-03T20:05:00Z,87360,4399,229,Jun,-BEx2LwI5VA
25,Why I Only Play Solo Now... - Apex Legends Season 13,2022-06-02T20:01:00Z,85686,3229,191,Jun,_KCjLwNDyHw
26,30 Minutes That Prove Wattson is Seriously Underrated... - Apex Legends Season 13,2022-06-01T20:01:00Z,105384,3308,244,Jun,tVC_0tY6yxk
27,The Hemlok is Season 13's Sleeper Gun! - Apex Legends Season 13,2022-05-31T20:01:00Z,115313,3276,264,May,HtImXVeGxfo
28,Apex has Lead me to This... - Apex Legends Season 13,2022-05-30T20:01:00Z,74482,2656,100,May,mXjBwVT-TJE
29,I've Missed Using This Gun... - Apex Legends Season 13,2022-05-29T20:01:00Z,72956,2669,93,May,qUIQtiMUUBY
30,I've Used the Peacekeeper Wrong for 13 Seasons... - Apex Legends Season 13,2022-05-28T22:20:00Z,151938,3944,134,May,10wgOv3o81g
31,Apex's Big Problem... - Apex Legends Season 13,2022-05-27T19:31:00Z,96377,3374,189,May,xBmvWJRT0qI
32,I Didn't Win a Game of Apex for 3 Hours so They Gave me a Triple Pred Teammate...,2022-05-26T21:05:00Z,98352,3686,290,May,ZzTQoRPnsrY
33,I've Never Had a 4k Damage Game Like THIS Before... - Apex Legends Season 13,2022-05-25T20:01:00Z,89533,3411,147,May,UfaiSAD4UnI
34,Why is Solo Apex Like This... - Apex Legends Season 13,2022-05-24T20:01:00Z,79411,2897,166,May,BEliJ7t1JK0
35,This Gun is FREE 4k Badges! - Apex Legends Season 13,2022-05-23T20:01:00Z,137576,4109,195,May,-6OzUt_R1Q0
36,The New Peacekeeper Buff is SO Good... - Apex Legends Season 13,2022-05-22T21:01:00Z,102747,3367,156,May,qqn6wtFNEjw
37,I Was Wrong... World's Edge is a MESS! - Apex Legends Season 13,2022-05-21T19:01:00Z,83962,3217,234,May,qDU6XF4CWlo
38,I Always Make the Same Mistake with New Legends... - Apex Legends Season 13,2022-05-20T20:01:00Z,76370,3170,193,May,aYcA3fJpjrU
39,This Legend is Actually Broken... - Apex Legends Season 13,2022-05-19T19:01:00Z,94502,2990,191,May,fD7M0Y6dh3Q
40,Only the Buffed Havoc Can Do This... - Apex Legends Season 13,2022-05-18T20:31:00Z,85216,3069,156,May,PuCJmbhCy-k
41,I Tried Out Apex Legends Mobile for the First Time! - Apex Legends Mobile,2022-05-17T19:01:00Z,131926,4128,390,May,bWI00oKIm8M
42,Everyone's STILL Underrating This Gun in Season 13 - Apex Legends,2022-05-16T20:31:00Z,102877,3163,174,May,bRnEUVwZcrc
43,Apex Have Completely Forgotten Lifeline Exists... - Apex Legends Season 13,2022-05-15T21:04:00Z,81665,2690,230,May,ldeorLy9RUo
44,Gold is the New Apex Predator... - Apex Legends Season 13 Ranked w/ Jankz and Sooxfar,2022-05-14T23:01:00Z,152098,4198,203,May,GapdwIUcxGk
45,The Flatline Should've Stayed in the Crafter... - Apex Legends Season 13,2022-05-13T20:31:01Z,95907,3163,108,May,OKVIM_AKLFU
46,Rampart Got Some Insane Buffs in Season 13! - Apex Legends Season 13,2022-05-12T18:01:00Z,92391,3082,108,May,5XQ5IwH0C_w
47,The New Spitfire is Still So Powerful... - Apex Legends Season 13,2022-05-11T15:01:01Z,134213,3906,246,May,n8zyv79tkdg
48,Newcastle is SO GOOD! - Apex Legends Season 13 is HERE!,2022-05-10T20:29:00Z,204732,5944,243,May,f8xRooQYHdo
49,The FINALE! - Solo to Masters on Apex Legends,2022-05-09T22:01:01Z,78994,3522,140,May,hDG-D3pYJIo
50,What You Have to Deal With as a Solo Ranked Player in Season 12... - Apex Legends Solo to Masters,2022-05-08T20:01:00Z,74833,2704,127,May,Y_9DTAa_Z0c
51,Achieving What I Couldn't Before in Ranked... - Apex Legends Season 12 Solo to Masters,2022-05-07T22:01:00Z,82370,2896,119,May,DZnA8wWzmYM
52,The LAST Time I Can Use These Guns... - Apex Legends Season 12,2022-05-06T20:31:00Z,76820,2450,144,May,qCLMslYbgkc
53,My Ranked Teammates Were So Good I Thought They Were Cheating... - Apex Legends Solo to Masters,2022-05-05T21:10:00Z,98926,2968,112,May,-u4x2VNgNCc
54,Should This Gun be in the Care Package in Season 13? - Apex Legends Season 12,2022-05-04T21:42:01Z,59336,2464,164,May,wY19vf3P9Rw
55,Why Ash Deserves More Respect... - Apex Legends Season 12,2022-05-03T21:08:00Z,73913,2743,203,May,sAwb_kxvAOE
56,"Apex Legends Season 13 Gameplay Reaction! - New Monster POI, Newcastle Gameplay and More!",2022-05-02T20:08:00Z,76577,2831,113,May,aAu-1VvnTXs
57,Ranked is Getting Reworked in Season 13! - Apex Legends Solo to Masters,2022-05-01T21:01:00Z,88421,3138,141,May,GfsXO3GaDoo
58,Apex Legends Solo is a Different Story... - Apex Legends Season 12,2022-04-30T21:01:00Z,66716,2528,67,Apr,cogK2RNPCfs
59,Apex HAS to Change This... - Apex Legends Season 12,2022-04-29T22:01:01Z,73644,2490,197,Apr,s015MCNJad0
60,Why is This Legend SO Difficult? - Apex Legends Season 12,2022-04-28T21:01:00Z,129181,2893,130,Apr,CI4Yu_F4mnI
61,"Hello, I am Playing Mirage (not clickbait)",2022-04-27T22:09:00Z,75154,3144,229,Apr,bNhqYZgE9Uc
62,Crypto Will be SO Good in Season 13! - Apex Legends,2022-04-26T21:01:00Z,83806,2693,158,Apr,DNsfcO83dAA
63,Apex's NEW Legend Revealed! - Newcastle Abilities and New PVE Monster!,2022-04-25T16:34:00Z,98531,3214,139,Apr,4elmRukd_kU
64,Apex Have Forgotten the Lifeline Mains... - Apex Legends Season 12,2022-04-24T21:01:00Z,77277,2617,151,Apr,kiKdUcU7kqU
65,RANKING UP! - Apex Legends Solo to Masters!,2022-04-23T19:01:00Z,83270,2867,123,Apr,wuM7WLH_0FU
66,Only ONE Legend Could Clutch This Game Out! - Apex Legends Season 12,2022-04-22T19:01:00Z,64517,2797,77,Apr,MV9RcTQZCWo
67,I Didn't Trust My Team Until This Happened... - Apex Legends Season 12 Solo to Masters,2022-04-21T19:01:00Z,83765,3219,114,Apr,cDoE3YWvMV4
68,Solo Bangalore is SO Good to Climb to Masters! - Apex Legends Season 12 Solo to Masters,2022-04-20T21:01:00Z,66473,2574,148,Apr,Eammbn__VPU
69,Apex's New Mode is SO Good! - Apex Legends Season 12,2022-04-19T19:48:00Z,103452,3274,104,Apr,nXR2niliRIE
70,30 Minutes of SOLO Diamond GAINS! - Apex Legends Season 12,2022-04-18T22:01:01Z,132034,3120,90,Apr,TSiBixgbyfI
71,Wattson is BACK! - Apex Legends Season 12,2022-04-17T20:01:00Z,65904,2807,190,Apr,mqpQ9cs1JF4
72,My BEST Game of Season 12... - Apex Legends Season 12,2022-04-16T17:01:00Z,76904,2813,137,Apr,zpKf-c0aYrU
73,Since When was the Triple Take This Good? - Apex Legends Season 12,2022-04-15T20:31:01Z,108499,3111,119,Apr,zMbuNRnyHOY
74,Why it's SO Hard to Solo Apex in 2022... - Apex Legends Season 12,2022-04-14T20:31:06Z,82066,2583,149,Apr,1H4vb3Zbd7w
75,Stop Underrating Seer in Ranked... - Apex Legends Season 12,2022-04-13T20:01:01Z,93725,3070,161,Apr,Vl2o5ZFqwOg
76,The Odds of Landing on This are 0.05%... - Apex Legends Season 12,2022-04-12T20:31:00Z,92673,2935,124,Apr,DC6o7xEqenc
77,Apex's Perfect Season 12 Legend... - Apex Legends Season 12,2022-04-11T20:01:00Z,72689,2505,91,Apr,eHi3guXIm7M
78,The Legendary RE-45 is Still the BEST Gun in the Game... - Apex Legends Season 12,2022-04-10T20:01:01Z,85252,2630,74,Apr,eJa5Eg95iTY
79,Apex Finally Buffed my Favourite Gun! - Apex Legends Season 12,2022-04-09T20:02:00Z,119190,3359,91,Apr,BsT-RgN4vCw
80,I Cannot Believe What My Teammates Did to Me... - Apex Legends Season 12,2022-04-08T22:01:00Z,73017,2876,103,Apr,L7C1eROy7PI
81,This Crazy Tactic Should Never Have Worked... - Apex Legends Season 12,2022-04-07T20:01:00Z,68593,2478,75,Apr,NG9E1NGcqug
82,What Happens When I Play Ranked in Predator... - Apex Legends Season 12 Ranked,2022-04-06T17:31:00Z,92287,3448,117,Apr,KoiaQlmS8xw
83,Is it Just Me Whose Apex Games Are Like This? - Apex Legends Season 12,2022-04-05T22:31:00Z,72852,2767,110,Apr,mYxcmgzY2J0
84,Apex's Current Most Useful Legend is... - Apex Legends Season 12,2022-04-04T21:31:00Z,101420,2936,128,Apr,fjvTflDMwpo
85,The Controversy With This Legend... - Apex Legends Season 12,2022-04-03T20:01:00Z,113731,2784,183,Apr,SIuRdFYjcJE
86,I Made a Mistake Not Using This Gun Before... - Apex Legends Season 12,2022-04-02T21:01:00Z,86421,2726,100,Apr,ItfJ8HfwOvc
87,Apex's NEW Event is a Nessie Gun! - Recruit an Army of Nessies - Apex Legends Season 12,2022-04-01T19:00:07Z,95329,3006,107,Apr,9hscrnWtP_A
88,"If You Can't Beat Them, Join Them... - Apex Legends Season 12",2022-03-31T21:01:01Z,86468,2814,83,Mar,tAGoMlB2_N0
89,Apex Didn't Mean to Buff This... - Apex Legends Season 12,2022-03-30T20:31:00Z,105620,3295,103,Mar,vk7fhl9t8yQ
90,Crypto's NEW Heirloom is the BEST in the Game! - Apex Legends Season 12,2022-03-29T19:45:00Z,131784,4530,261,Mar,CozwmeAmDus
91,I Keep Making the Same Mistake on Apex... - Apex Legends Season 12,2022-03-28T20:01:00Z,103172,3415,107,Mar,g_lCIti2mLY
92,The Apex Legends Debate is Over... - Apex Legends Season 12,2022-03-27T21:01:00Z,86203,2925,138,Mar,NpGFrrMhmA4
93,The Loot Here is a Free Win... - Apex Legends Season 12,2022-03-26T21:01:00Z,86539,3650,180,Mar,QyFDHOAZYp0
94,You Need the Perfect Balance to Play This Legend... - Apex Legends Season 12,2022-03-25T21:01:00Z,80841,2505,124,Mar,kNODRLVqq14
95,This is Apex's NEW Heirloom! - Apex Legends Season 12,2022-03-24T16:12:00Z,95911,3484,156,Mar,RakBA3lENzk
96,This is Apex's Big Legend Problem... - Apex Legends Season 12,2022-03-23T22:01:00Z,110898,3471,255,Mar,v2v3nTG3_AA
97,Do You Remember Apex's SOLO Game Mode? - Apex Legends Solo Mode,2022-03-22T18:01:00Z,113586,4843,440,Mar,r6g36rLMH4o
98,Everyone Has This Legend as a Pocket Pick... - Apex Legends Season 12,2022-03-21T21:01:00Z,89492,2995,120,Mar,zJEtqESp3ig
99,This is My WORST Legend on Apex... - Apex Legends Season 12,2022-03-20T21:01:00Z,90083,3103,123,Mar,GdLpcbeSwNE
100,Buff Inbound? - Apex Legends Season 12,2022-03-19T19:01:01Z,90910,3150,239,Mar,5aXPGZUaqng
101,I Had NO Idea Apex Added This! - Apex Legends Season 12,2022-03-18T20:01:00Z,115818,3446,268,Mar,K_HuAFObwiE
102,The BEST Thing Apex Ever Added Back! - Apex Legends Season 12,2022-03-17T19:01:00Z,107487,3530,114,Mar,cITajzbxpVc
103,It Took Me Way Too Long to Realise How Good This Is... - Apex Legends Season 12,2022-03-16T19:01:00Z,103152,3237,161,Mar,VGuZzc6i1VU
104,Apex's ONLY Must-Pick Legend... Apex Legends Season 12,2022-03-14T21:01:00Z,105883,3195,119,Mar,3J4F2S1Q1qA
105,The Bocek Bow is Back... - Apex Legends Season 12,2022-03-13T21:31:00Z,129756,3702,141,Mar,paOzOpa5qkE
106,The Most Overlooked Legend in Apex Season 12...,2022-03-12T22:01:00Z,87880,2996,109,Mar,Ig0ZQ3o_OMc
107,My Team and I Were Arguing but Then This Happened... - Apex Legends Season 12,2022-03-11T20:31:00Z,100309,4455,225,Mar,10ms46PP7tM
108,This is Why I Have to Switch Main in Season 12... Apex Legends,2022-03-10T19:01:01Z,107295,3662,443,Mar,t-3gpOET74M
109,My Teammates Could Not Believe These Clutches! - Apex Legends Season 12,2022-03-09T22:01:00Z,104197,3912,193,Mar,Wy7iWr5jmHc
