,Title,Published_date,Views,Likes,Comments,Month,ID
0,*NEW* Apex Legends WTF & Funny Moments #1064,2022-07-06T22:30:21Z,22458,581,35,Jul,PkFoVUEZ1EU
1,*NEW* Apex Legends WTF & Funny Moments #1063,2022-07-05T23:10:36Z,37693,696,38,Jul,Aw950HcsJLI
2,*NEW* Apex Legends WTF & Funny Moments #1062,2022-07-04T22:32:40Z,36532,721,23,Jul,Sn_tpj3WebA
3,*NEW* Apex Legends WTF & Funny Moments #1061,2022-07-02T22:01:26Z,36480,717,28,Jul,o32od4wtEN4
4,*NEW* Apex Legends WTF & Funny Moments #1060,2022-07-01T22:18:08Z,36254,744,21,Jul,C2BHp-nhrmU
5,*NEW* Apex Legends WTF & Funny Moments #1059,2022-06-30T22:14:10Z,43921,810,47,Jun,E1hQQyxsTEk
6,*NEW* Apex Legends WTF & Funny Moments #1058,2022-06-29T22:00:32Z,37731,759,48,Jun,p2RHY4GWIu0
7,*NEW* Apex Legends WTF & Funny Moments #1057,2022-06-28T22:43:49Z,32552,735,34,Jun,QIEw5SmA8Fc
8,*NEW* Apex Legends WTF & Funny Moments #1056,2022-06-27T22:04:58Z,38269,796,30,Jun,sgWlRXxejHs
9,*NEW* Apex Legends WTF & Funny Moments #1055,2022-06-26T21:00:00Z,40648,777,39,Jun,-TinBh3KyeU
10,*NEW* Apex Legends WTF & Funny Moments #1054,2022-06-25T22:58:18Z,32425,645,49,Jun,2EEx2lp9I4g
11,*NEW* Apex Legends WTF & Funny Moments #1053,2022-06-25T00:42:49Z,28118,598,21,Jun,XEOmc8lsvss
12,*NEW* Apex Legends WTF & Funny Moments #1052,2022-06-23T22:57:15Z,29267,660,46,Jun,yoToelUCf9s
13,*NEW* Apex Legends WTF & Funny Moments #1051,2022-06-22T23:22:38Z,51774,851,40,Jun,VJAK8yDRCU8
14,*NEW* Apex Legends WTF & Funny Moments #1050,2022-06-21T23:24:12Z,48844,862,35,Jun,QhvAbaOeb_o
15,*NEW* Apex Legends WTF & Funny Moments #1049,2022-06-21T09:01:43Z,36744,677,42,Jun,TEAZ8M5xq44
16,*NEW* Apex Legends WTF & Funny Moments #1048,2022-06-19T22:57:56Z,37664,723,29,Jun,KHQTnM0NHX4
17,*NEW* Apex Legends WTF & Funny Moments #1047,2022-06-18T22:58:17Z,41480,769,28,Jun,0u-FsRHjWVQ
18,*NEW* Apex Legends WTF & Funny Moments #1046,2022-06-17T23:07:57Z,44595,824,24,Jun,3YodJxqymKc
19,*NEW* Apex Legends WTF & Funny Moments #1045,2022-06-16T22:38:13Z,35614,897,19,Jun,ZJnDm88U9ao
