,Channel_name,Subscribers,Views,Total_videos,playlist_id,channel_ID
0,Mayapolarbear,1890000,195906263,72,UULFJxkc6mv0Mj6N49MHyK2Q,UCINb0wqPz-A0dV9nARjJlOQ
1,Pets Town,902000,82477630,15,UUcYD8eULx8LZpdrplYc4Jmg,UCC7tqA6lA2QRw4BdrAEKFxg
2,ViralBe,2100000,187672779,777,UUfGLwxYDLZOj_eJOcMboY_A,UCKy3MG7_If9KlVuvw3rPMfw
3,BBC Earth,11300000,4037553812,2231,UUwmZiChSryoWQCZMIQezgTg,UCcYD8eULx8LZpdrplYc4Jmg
4,Latest Sightings,2800000,1926919989,616,UUyfZleh4w7buTzi0WfY8WqA,UCWv2oOr-VnM5z7-Eb_NlWfA
5,TheMeanKitty,1410000,377611935,210,UUNT38peI5ihu_QzBSjKpWKA,UCNo5PGwGmfnEprEUUb9AGgw
6,The Dodo,12000000,7712578526,6913,UUINb0wqPz-A0dV9nARjJlOQ,UCTZUTvv_1Onm-f-533Hyurw
7,Louie The Beagle,3670000,1147237425,532,UUZ-oMIRggrNuzsWLtNFXBXw,UCbHvtJxBXUzpB_iXfJLIvjA
8,Wow Animals,2390000,823152702,371,UU24KUWwW8-rJu3GZKLPYvcw,UCLFJxkc6mv0Mj6N49MHyK2Q
9,AaronsAnimals,7340000,2227762200,93,UUNo5PGwGmfnEprEUUb9AGgw,UCKD8QcX1LhFB8n7lhjfuQdg
10,Tiger Productions,3310000,1361499480,567,UUKy3MG7_If9KlVuvw3rPMfw,UC38r7_x7oMPAZweB2fvGDXQ
11,소녀의행성 Girlsplanet,997000,367714664,468,UU-IYpdOqjkER7B6cnChwlhA,UC-IYpdOqjkER7B6cnChwlhA
12,Gohan The Husky,2880000,379488280,422,UUKD8QcX1LhFB8n7lhjfuQdg,UCwmZiChSryoWQCZMIQezgTg
13,Funny Animals' Life,1340000,704428384,142,UU09IvZwjpunzrdHH1EHok-w,UC6zbH1Z4G32bBV9wyK6ikPA
14,FunnyPig,1030000,667440126,1046,UUWv2oOr-VnM5z7-Eb_NlWfA,UCf4VNiylVdKz_4b8uEoYXBA
15,That Little Puff,11100000,9612610120,520,UUlFN9LShD_Pv0wnSeUKbUZw,UCwcsDWGip6vtiZyCnvDoClQ
16,Rapid Liquid,2210000,890661010,363,UU38r7_x7oMPAZweB2fvGDXQ,UCDPk9MG2RexnOMGTD-YnSnA
17,Nat Geo WILD,4280000,1313493511,3355,UUDPk9MG2RexnOMGTD-YnSnA,UCtEgLf0_j1vJLz0aNEdO2SQ
18,4 Ever Green,2720000,613771136,489,UURpNVpZoW56rOsV-6wFK3lg,UClFN9LShD_Pv0wnSeUKbUZw
19,Kittisaurus,2850000,563980069,172,UUwcsDWGip6vtiZyCnvDoClQ,UCTnomncAH9Gm5bjmCNIDjjA
20,Robin Seplut,1580000,516534297,2318,UUTZUTvv_1Onm-f-533Hyurw,UC09IvZwjpunzrdHH1EHok-w
21,iPanda,551000,214238552,8784,UUtEgLf0_j1vJLz0aNEdO2SQ,UC3JYTzRVa6gK9XWTXxJ7taw
22,Kitten Street,1590000,492833860,607,UU3JYTzRVa6gK9XWTXxJ7taw,UCRpNVpZoW56rOsV-6wFK3lg
23,mugumogu,832000,499223869,1468,UURVruzlQF5cqpw9jQgIgNdw,UC24KUWwW8-rJu3GZKLPYvcw
24,Grumpy Dogs,1250000,362012455,204,UUbHvtJxBXUzpB_iXfJLIvjA,UCZ-oMIRggrNuzsWLtNFXBXw
25,Kritter Klub,5090000,2117472643,2304,UU6zbH1Z4G32bBV9wyK6ikPA,UCfGLwxYDLZOj_eJOcMboY_A
26,MonkeyBoo,2510000,709046928,1390,UUf4VNiylVdKz_4b8uEoYXBA,UCyfZleh4w7buTzi0WfY8WqA
27,Maymo,11200000,4865067911,482,UUC7tqA6lA2QRw4BdrAEKFxg,UCRVruzlQF5cqpw9jQgIgNdw
28,PetWard,309000,97692814,32,UUTnomncAH9Gm5bjmCNIDjjA,UCNT38peI5ihu_QzBSjKpWKA
