,Title,Published_date,Views,Likes,Comments,Month,ID
0,한 배를 탄 강아지의 최후,2022-07-04T02:43:41Z,214382,7740,305,Jul,wFfbM3j-bSY
1,네비게이션 말 알아듣는 강아지ㅋㅋㅋ,2022-07-03T02:12:40Z,190386,8651,130,Jul,PIEUG0OKfbE
2,주인에게 삐져버린 강아지 풀어주는 방법,2022-06-30T02:58:12Z,236078,8781,363,Jun,EAuECbm-JR4
3,아기고양이 식용유로 반죽하게 된 사연...,2022-06-25T02:45:21Z,453560,11705,293,Jun,7e3Y8CRIyI4
4,제주도 무인도에 첫 발을 내딛은 강아지!,2022-06-22T02:45:01Z,284965,9315,482,Jun,i02heiV6Jqk
5,내가 별이를 입양하지 못했던 이유.,2022-06-18T01:08:55Z,501271,12414,615,Jun,Ke7S7HThNtE
6,포메의 엉덩이 털이 빠진 이유...,2022-06-15T02:54:44Z,330656,8431,387,Jun,3VXv7VjrOwo
7,임신한 유기견 별이 마지막 회.,2022-06-12T02:15:00Z,564004,20867,1058,Jun,MOM6JijlFqk
8,영원히 이별합니다... 잘가!,2022-06-08T02:45:01Z,623150,15527,531,Jun,U-z1_7JMLXg
9,물놀이 싫어하던 강아지가 즐기기 시작했어요!ㅋㅋㅋ,2022-06-04T02:45:32Z,211543,7424,191,Jun,mY_3qwCd2gY
10,집사없이 무지개만 밖에 내보내면 생기는일......ㅠㅠ,2022-06-01T02:20:16Z,212631,6778,190,Jun,AnqRdtQdCQg
11,나도 강아지 유튜버 해볼까? 궁금증을 풀어드립니다!,2022-05-28T02:00:03Z,212474,6539,234,May,hyVTpA6ZncM
12,1인칭 포식자 시점,2022-05-25T02:52:01Z,252753,7624,276,May,GHl6mlu2_1A
13,뛰는 개 위에 나는 개 있다.,2022-05-21T02:44:24Z,363393,10131,367,May,K4U7BZEWclc
14,새끼들 떠나보낸 어미견 근황...,2022-05-18T02:45:01Z,749134,16567,598,May,0bRRV97ioBk
15,계곡에서 물놀이 하는데 악어를 만나버렸다......,2022-05-14T02:00:22Z,595234,12679,647,May,ukAFZbaBVqU
16,무지개즈 입양 보냅니다....잘가....안녕....,2022-05-11T02:55:06Z,689643,23136,1693,May,VbpHYF_5eX0
17,아이돌이 강아지와 만나면 생기는 일,2022-05-07T03:00:31Z,297214,9069,388,May,rBxNTkxwO4E
18,텐트에 집사만 들어가면 생기는일....살려주,2022-05-04T03:00:01Z,328217,9591,268,May,ccIoCmaFTh0
19,웰시코기가 9마리 리트리버 사이에서 살아 남는 법,2022-04-30T02:40:45Z,392529,10562,438,Apr,ZbplulqkJ1E
20,어린 강아지들도 알건 다 알더라구요.,2022-04-27T02:26:22Z,624183,13888,449,Apr,Jy80M05ReKg
21,침대에 올려달라고 애원하는 포메,2022-04-23T09:01:26Z,335524,10006,394,Apr,cdHWXTupUhc
22,어마어마하게 큰 강아지 물그릇,2022-04-20T02:45:03Z,425652,12267,510,Apr,6aXWTBP4lkk
23,교육하는 엄마와 사춘기 온 강아지들,2022-04-16T01:09:07Z,521019,13469,537,Apr,mlg7H5RJQng
24,수영 배우러 온 7마리 강아지들,2022-04-13T02:56:08Z,531546,16273,820,Apr,DAYf6xvE4eA
25,7마리가 단체로 목욕하게 된 충격적인 사연....,2022-04-09T01:15:01Z,483475,14950,878,Apr,QYmYovSLeqk
26,달릴 날이 얼마 남지 않았습니다. 실컷 즐겨둬...^^,2022-04-06T03:00:35Z,414606,11225,494,Apr,D6GAAYNTjFA
27,어미견 머리채 잡은 사연..,2022-04-02T02:48:13Z,437944,12889,604,Apr,U_3lBS_-tDQ
28,난생 처음 폭설을 본 개린이들,2022-03-30T02:54:32Z,399665,12492,501,Mar,86MQwoyd3xc
29,11마리 견주의 평화로운 브이로그 (#로봇청소기),2022-03-26T02:51:55Z,640510,16233,1317,Mar,hXVEtFI6Bb4
30,육아하기 싫어서 스스로를 가두는 골때리는 강아지ㅋㅋㅋ,2022-03-23T03:48:53Z,532095,15766,827,Mar,fLLOPDHLDAo
31,손톱 깎다가 잠든 아기 강아지,2022-03-20T01:15:01Z,588335,17869,533,Mar,lNybdfzc-Yw
32,포메의 다이어트 브이로그 (고구마 먹고 살찜...),2022-03-16T09:00:23Z,368017,10110,496,Mar,o9ssO1bKn-4
33,2개월 된 강아지 무리를 처음 본 웰시코기 (행성 우주 첫만남),2022-03-12T02:00:17Z,488983,13086,417,Mar,u-1RZ9nGBBs
34,7마리 미니언즈 강아지 운동장에 출몰하다!,2022-03-09T02:45:02Z,467619,14822,586,Mar,fKsm3NleRpc
35,당당하게 동물병원에 가는 7마리 무지개!,2022-03-05T03:55:08Z,669364,18540,694,Mar,HG7qh00X0jw
36,어미견과 포메의 사이가 좋지 않아요...매일 싸우는 이유,2022-03-02T02:56:42Z,553637,14847,625,Mar,F2hl_TvG4SM
37,난생 처음 거울을 보고 깜짝 놀랐어요!,2022-02-26T02:58:22Z,445639,13852,489,Feb,P5bTssjk6es
38,엄마 닮은 개를 본 아기강아지의 반응! 소녀와 첫만남,2022-02-24T03:54:21Z,669689,18564,959,Feb,oJfHxp2TWJY
39,스트리밍_소녀 생일을 맞아 수영장을 대관했어요! (초대손님 : 우주 행성 별이),2022-02-23T18:19:58Z,168189,4577,199,Feb,po1ZpEdpro8
40,개린이들의 고품격 사료 먹방 ASMR,2022-02-19T02:45:01Z,435637,12212,1057,Feb,KPqMkkzs1aY
41,육아에 지친 어미견을 마음껏 뛰어놀게 해줬더니...,2022-02-16T03:01:24Z,1005032,21118,807,Feb,DEBGM2yC7DY
42,7마리 아기 강아지들의 첫 마당산책!,2022-02-12T02:50:03Z,1468508,34679,1655,Feb,7OdfYheLzuo
43,다견가정에서 임시보호를 조심 해야하는 이유....,2022-02-09T02:56:36Z,714898,18309,819,Feb,ByDN7w2SXek
44,병원에 주사맞으러 실려가는 아기 강아지들!,2022-02-05T03:05:16Z,1886343,32750,1314,Feb,ysE6KXLd5qg
45,어미견한테 참교육 당하는 아기 강아지,2022-02-02T03:03:25Z,2684107,39531,1881,Feb,fwl7iPwgIyk
46,얼음계곡 수심 확인하는 북극 리트리버 🐕 자기몸이 제일 소중해,2022-01-29T03:02:21Z,562897,13197,472,Jan,UwrXnhhPY4g
47,생후 30일된 아기 강아지에게 공갈쪽쪽이를 줘봤어요!,2022-01-26T03:05:09Z,1407099,34213,1105,Jan,-Pjvg9uYUjo
48,훈련사님이 본 소녀의행성 서열 순위는?,2022-01-22T05:09:53Z,816876,16970,887,Jan,NTrmc9uCMTg
49,새끼가 울타리에서 탈출했더니 엄마 강아지가 보인 반응,2022-01-19T02:58:17Z,3747184,46628,2019,Jan,QUndtdVBlmI
50,대형견 문제행동 고치기! 대형견 견주는 이 영상을 봅니다! [세상에 나쁜 개는 없따],2022-01-15T03:34:23Z,420322,9918,487,Jan,jYOjqq3ABk4
51,단체로 항의하는 아기 강아지들ㅋㅋㅋ,2022-01-12T03:01:03Z,3371808,49002,2076,Jan,on09zv-ujyc
52,키가 작아 슬픈 강아지,2022-01-08T02:58:51Z,1765985,31528,1110,Jan,BWDgE9-541g
53,생후 14일짜리의 하찮은 하울링ㅋㅋㅋ,2022-01-05T03:00:46Z,2804469,51224,1990,Jan,x6Zg9eDUjAo
54,아기 강아지가 드디어 눈을 떴어요! 근데 눈뜬 상태가 좀 이상함ㅋㅋㅋ,2022-01-01T03:02:09Z,1842687,40344,1632,Jan,x4z6GuUbdhs
55,생후 1일된 아기 강아지의 하루,2021-12-29T03:03:32Z,1973411,41036,1722,Dec,bnlAYA6eyVI
56,새끼 강아지 7마리를 출산했어요!,2021-12-25T02:26:00Z,1636804,43527,2284,Dec,7tLOcs41o4U
57,우리집 강아지가 임신을 했어요!,2021-12-22T03:01:15Z,1576828,36264,1694,Dec,_PxoNWb--uk
58,귀여운 넷째가 생겼어요! 5개월 된 강아지,2021-12-18T02:53:16Z,867605,18126,822,Dec,BBByL5Z2TtE
59,밥을 늦게 주면 생기는 일,2021-12-11T02:52:40Z,618619,13399,488,Dec,LEZTNZQwzhA
60,강아지는 하루에 얼마나 걸을까? 정확히 측정해보았다 (광고아님),2021-12-05T03:13:16Z,382181,8591,399,Dec,DFUe4QElsA8
61,강아지 과자집 먹방 ASMR,2021-12-02T02:57:19Z,219710,5997,332,Dec,EmplRzpG7Qs
62,아빠의 용돈케이크를 노리는 강아지,2021-11-30T08:59:13Z,238675,8163,112,Nov,RnqmFmmqCRU
63,[브레멘 음악대] 강아지 동화,2021-11-28T05:43:01Z,145150,4816,293,Nov,hC9GQ-k3XkY
64,주인 때문에 절규하는 강아지ㅋㅋㅋ,2021-11-24T03:00:12Z,427846,12030,188,Nov,lleji1EAg1I
65,종이컵 성을 뚫어라! 🐶 귀여운 강아지 반응,2021-11-21T02:34:30Z,174940,5664,190,Nov,XA0nEhLnZYs
66,카드탑 무너지기 3초전,2021-11-18T02:56:52Z,248600,7070,309,Nov,lSIrhv6iVXA
67,이웃집 8코기네를 만났어요! 귀여운 웰시코기 군단! [이웃집탐방],2021-11-14T08:10:53Z,741075,16155,924,Nov,QVXDVV6jom0
68,집사의 기분을 살피는 세심한 강아지 ㅠㅠ 귀여워,2021-11-11T03:00:30Z,246473,7964,338,Nov,ghjk_4deflw
69,목욕이 미치도록 하고싶었던 강아지 🐕 왕크니까 왕귀여워,2021-11-07T01:00:01Z,409426,10606,410,Nov,3xZjqTC7im4
70,로봇청소기 방해하는 강아지 [힐링영상],2021-11-04T03:00:21Z,145204,4490,174,Nov,FW0lbLFV0UI
71,자는 언니 놀리기 🐇 귀여운 강아지 일상,2021-10-31T02:53:28Z,274582,8270,450,Oct,p2KVMixBz30
72,전원주택에 진짜 쥐가 나타났어요! 😱 쥐를 본 강아지 반응,2021-10-28T02:50:31Z,622155,11745,972,Oct,rr8oDAODAdo
73,행성이 생일 파티 스트리밍 ♥ 놀러오세요 ♥,2021-10-25T12:13:32Z,182007,3601,230,Oct,UJF6XvtMWSc
74,엉덩이로 협박하는 강아지,2021-10-24T02:39:50Z,368627,9780,381,Oct,i50ydDWDO7c
75,눈뜨고 코 베인 강아지,2021-10-21T03:00:10Z,345618,8490,316,Oct,EnE-la-OFyI
76,투명한 간식 함정을 설치했더니 강아지 반응,2021-10-17T02:41:34Z,174501,5175,260,Oct,CO05SAZS-T4
77,애착이불을 빨았더니 생기는 일 🐶 귀여운 강아지,2021-10-14T08:28:24Z,1150737,22165,574,Oct,un4K-dcV9OM
78,태권도 유단자 실력 보실?,2021-10-10T02:59:58Z,168262,5333,274,Oct,x2cbc2_HzLU
79,언니따라 하찮게 하울링하는 강아지,2021-10-07T03:17:29Z,1355265,26553,1114,Oct,Dczpg7EYC88
80,백만번 혼난 강아지의 똑똑한 대처법,2021-10-03T02:50:10Z,391909,10419,394,Oct,L78GfYJvzWk
81,강아지가 무언가에 중독되면 이렇게 무섭습니다...,2021-09-30T08:32:21Z,191589,6021,309,Sep,k2SqkGQrLbs
82,닭 만나기 3초 전,2021-09-26T02:59:46Z,221382,5971,288,Sep,4uyKJUPtFRc
83,[충격] 처음 본 거울 속 내모습 │ [Shocking] First look at myself in a mirror,2021-09-23T02:48:06Z,203473,6734,311,Sep,OxJRqtZzUlg
84,마님 추석 선물이 왔어요~,2021-09-19T03:00:40Z,268259,7378,1171,Sep,N8tQzxoIfWs
85,[속보] 택배 차 괴수에게 습격당해...운전자 생명 위독,2021-09-16T03:00:14Z,275893,9608,565,Sep,H55D6gbXWjE
86,비오는날 마당에 나무 심었더니 생기는 일,2021-09-12T03:01:15Z,219122,6821,284,Sep,tXrBGR3qvF0
87,듣기만해도 그리운 그 이름,2021-09-09T02:55:20Z,339944,8752,334,Sep,ST4fHF_UyO4
88,귀여운 강아지 일상 모음 영상,2021-09-05T01:00:02Z,259504,8187,279,Sep,C_t_Ee3FPP8
89,주인이 갑자기 쓰러졌더니...깜짝 놀라서 뛰어온 강아지ㅠㅠ │ The master faints and puppies come running all startled,2021-09-02T03:08:05Z,280826,7721,412,Sep,2bWUfJfg3JE
