,Title,Published_date,Views,Likes,Comments,Month,ID
0,Cute Animals for When You Are Sad,2022-07-03T15:00:13Z,4135,269,18,Jul,FVc1_76924w
1,Cute Animal Videos that Will Brighten Up Your Day,2022-06-26T13:00:10Z,6810,367,31,Jun,8o9q5-6oUD4
2,15 More Minutes of the Cutest Pets on TikTok,2022-06-19T16:00:32Z,10866,424,18,Jun,p14VbMV11fo
3,15 Minutes Straight of the Cutest Pets on TikTok,2022-06-12T15:56:27Z,16258,562,24,Jun,KhIde0HnyQk
4,Cute Animals for When You Need a Break,2022-06-05T16:01:01Z,37633,1280,30,Jun,ofUs4sC6Ai4
5,The Funniest Animal Videos on the Internet 🤣,2022-05-29T16:22:52Z,16210,396,20,May,VO4CQNGGHlg
6,Even More Cute Animals for When You are Stressed,2022-05-22T16:04:42Z,17869,504,25,May,cKpMGNNX2BU
7,Cute Animal Videos Approved by El Gato,2022-05-15T16:29:59Z,26830,750,24,May,QY8Go9SbEE8
8,Need Some Cheering Up? Here are Some Cute Animals!,2022-05-08T16:00:11Z,18866,635,31,May,Azc3G8bchIs
9,Cute Animal Videos that Help Me Get Through the Day,2022-05-01T16:19:57Z,23349,848,30,May,LjxFC7DmoZM
10,Funny Animal Videos that Help Me Get Through the Day,2022-04-24T16:00:10Z,44174,1024,40,Apr,QwQRrOBEF0Y
11,"Hey, check out these cute animal videos I found for you!",2022-04-17T16:00:13Z,20540,730,24,Apr,FPympCjN-Z0
12,Cute Animal Videos that Will Put You in a Better Mood Immediately,2022-04-10T16:01:51Z,24330,808,36,Apr,arXjIB0XdB8
13,10 Minutes Straight of Cute Animals that Will Brighten Up Your Day,2022-04-03T16:00:19Z,25504,876,21,Apr,L2fsNJH55-0
14,Cute Animals that Will Cheer You Up When You're Down (Funny),2022-03-27T16:00:07Z,32963,896,33,Mar,AqqZz-uw-Wg
15,More Cute Animals for When You are Stressed,2022-03-21T16:57:29Z,37815,1257,38,Mar,v_0owholGRA
16,"Hey there, I found some more cute animals for you!",2022-03-06T17:01:26Z,31330,1008,51,Mar,CQbYAtxMm24
17,"Hey there, Want to See Some Cute Animals?",2022-02-27T17:00:25Z,38044,1220,49,Feb,m_a0PQgafIQ
18,Cute Animals that Can Probably Cure Your Sadness,2022-01-30T17:00:11Z,47463,1203,56,Jan,IGe3dlnPf9o
19,Cute Animals that Can Probably Cure Depression,2022-01-09T17:00:32Z,82775,1757,55,Jan,YOgzOPDKZv8
20,Cute Animals for When You Need to Relax,2022-01-02T17:04:49Z,3219950,30324,648,Jan,28p6gEQdLwE
21,Funny Animal Videos that Make Me WHEEZE,2021-12-26T17:00:10Z,279677,3820,127,Dec,Bx0Dyyo-KYM
22,Funny Animal Videos that Will Make You Smile Uncontrollably,2021-12-19T17:00:25Z,341515,5438,196,Dec,oca81FoUtHM
23,Cute Animals for When You Are Feeling Down,2021-12-12T17:00:26Z,6689326,82347,1601,Dec,o9cQ3RN_l1o
24,Cute Animals that Can Probably Bring World Peace,2021-12-05T17:00:23Z,32453923,232349,4477,Dec,Jgz_YdlPgNk
25,More Cute Animals for When You are Stressed,2021-11-28T17:00:05Z,11284749,103977,1785,Nov,6QzcF3xdoF8
26,More of the Funniest Cat Videos on the Internet 🤣🐱,2021-11-21T17:00:01Z,321906,6328,203,Nov,1y38t3khv0Y
27,Funny Animal Videos that Make Me Belly Laugh 🤣,2021-11-14T17:00:01Z,142408,2702,92,Nov,2Iw-bpt8zgE
28,Cute Animals for When You are Stressed,2021-11-09T17:00:24Z,22074233,568828,9933,Nov,ZuRLOlB4N8U
29,16 Minutes Straight of Cute Animals 🥰,2021-11-07T17:00:01Z,1578871,32646,645,Nov,2PhJWOHaxzY
30,The Funniest Dog Videos on the Internet 🤣🐶,2021-10-17T20:12:39Z,484172,8855,242,Oct,VCjSIex9JEQ
31,The Funniest Cat Videos on the Internet 🤣🐱,2021-10-02T19:45:23Z,18362496,338217,9634,Oct,0xqkksHov58
