,Channel_name,Subscribers,Views,Total_videos,playlist_id,channel_ID
0,Tech Talk America,750000,75321596,465,UUWjgzVRdoEaZxiF_kVbrtsA,UCY7t-zBYtdj6ZgiRpi3WIYg
1,Humsafar Tech,1070000,148283748,651,UU7YHgndkMslP_xCOD2LtBXg,UC7YHgndkMslP_xCOD2LtBXg
2,Beebom,2310000,360743346,779,UUvpfclapgcuJo0M_x65pfRw,UC9Tn-atYOt8qZP-oqui7bhw
3,Dave2D,3550000,698157704,666,UUVYamHliCI9rw1tHR1xbkfw,UCtxCXg-UvSnTKPOzLH4wJaQ
4,Coding Tech,703000,45325444,1139,UUtxCXg-UvSnTKPOzLH4wJaQ,UC4JX40jDee_tINbkjycV4Sg
5,Optimum Tech,623000,137336337,557,UURYOj4DmyxhBVrdvbsUwmAA,UC6107grRI4m0o2-emgoDnAA
6,Kurzgesagt – In a Nutshell,18700000,2017301788,160,UUsXVk37bltHxD1rDPwtNM8Q,UCxo8ooAqXiObjuaIy10ud0A
7,Tech Raj,684000,69289354,267,UUY7t-zBYtdj6ZgiRpi3WIYg,UCWjgzVRdoEaZxiF_kVbrtsA
8,Beyond Science,2040000,349425339,480,UUxo8ooAqXiObjuaIy10ud0A,UC4Tklxku1yPcRIH0VVCKoeA
9,Science Insider,2240000,505861721,521,UU9uD-W5zQHQuAVT2GdcLCvg,UCVLZmDKeT-mV4H3ToYXIFYg
10,Unbox Therapy,18200000,4312098384,2044,UUsTcErHg8oDvUnTzoqsYeNw,UCRYOj4DmyxhBVrdvbsUwmAA
11,SmarterEveryDay,10400000,1054349166,355,UU6107grRI4m0o2-emgoDnAA,UCsXVk37bltHxD1rDPwtNM8Q
12,Tech With Tim,1010000,87540311,742,UU4JX40jDee_tINbkjycV4Sg,UCvpfclapgcuJo0M_x65pfRw
13,Quantum Tech HD,11100000,3446699530,379,UU4Tklxku1yPcRIH0VVCKoeA,UCsTcErHg8oDvUnTzoqsYeNw
14,Tech Insider,3850000,1392242429,4334,UUVLZmDKeT-mV4H3ToYXIFYg,UC9uD-W5zQHQuAVT2GdcLCvg
15,Tech YES City,535000,128331130,1579,UU9Tn-atYOt8qZP-oqui7bhw,UCVYamHliCI9rw1tHR1xbkfw
