,Title,Published_date,Views,Likes,Comments,Month,ID
0,The Repair Cost of Smartphones in India: A Reality Check!,2022-07-07T13:25:41Z,34929,6261,523,Jul,vtfLKuAyWdw
1,ROG Phone 6 Pro: Is 8+ Gen 1 ACTUALLY Good?,2022-07-05T12:38:37Z,77456,5147,420,Jul,omrAt4gwhs0
2,POCO F4 5G Review: Buy or Wait for Nothing?,2022-07-02T15:04:06Z,122035,6478,867,Jul,sA91HTCUfiQ
3,OnePlus NORD 2T: Unexpected!,2022-07-01T05:30:21Z,292361,11921,805,Jul,MnlBnurpBUE
4,"The Best Phones Under ₹20,000!",2022-06-27T14:10:51Z,192196,9772,1430,Jun,oVJjQYINeA8
5,Dell Inspiron 16 2-in-1 (2022): 4K OLED + 12th Gen Core i7!,2022-06-25T12:42:01Z,98574,2160,208,Jun,624M1n3K3aY
6,This Samsung Phone Deserves Your Attention!,2022-06-24T15:02:08Z,337965,13573,1271,Jun,et5Zyfa-FTo
7,ASUS TUF Dash F15 (2022) | Core i5-12450H RTX 3050,2022-06-22T06:30:03Z,118695,3411,405,Jun,P11VPmsr0_4
8,"The ₹7,000 iPhone!",2022-06-18T13:36:17Z,152321,9392,823,Jun,tlvRGEPnoSw
9,Infinix X1 Slim: A Good Laptop Under 30K?,2022-06-16T12:37:34Z,110070,4298,384,Jun,kVDMaR6iWZw
10,"The New OnePlus is Here, FINALLY!",2022-06-15T12:51:00Z,559877,32182,1230,Jun,1Lh3UZPHyZk
11,Dell Alienware m15 R7: With Great Power...,2022-06-13T12:33:00Z,92256,2527,243,Jun,o09lGpvj89w
12,"8 Unique Gadgets Under ₹1,000 from Amazon!",2022-06-11T12:33:00Z,124794,10395,825,Jun,mGvG7Ry8GiM
13,The Best iOS 16 Features in Action!,2022-06-07T15:50:20Z,223114,9375,618,Jun,_-go7R0EcxY
14,Moto G82 5G: Makes Sense at 20K?,2022-06-07T07:08:04Z,192873,7551,761,Jun,iQ92pAVXa44
15,7 New Android Features You Should Start Using!,2022-06-04T14:16:50Z,129462,8785,359,Jun,iSQis6-9hf4
16,7 Cool New Android Apps That Are Actually Useful - 2022!,2022-06-02T12:37:00Z,169262,9916,263,Jun,Wcij8rAAnno
17,The New HP Omen 16 (2022): Good Gaming Laptop for the Price?,2022-05-27T12:30:12Z,117982,3321,280,May,dURSsUc4PnQ
18,Samsung Galaxy Tab S8 Ultra: A True iPad Pro Competitor?,2022-05-24T06:44:50Z,117887,5672,501,May,XNAkpTIPXLY
19,vivo X80 Pro: Insane Cameras But Good Flagship?,2022-05-18T07:13:52Z,124928,4656,579,May,0QLVrF5ptCQ
20,Samsung Galaxy M53 Review: Should You Buy?,2022-05-14T10:59:36Z,96153,4704,570,May,6PqeiGi_Svw
21,ASUS ZenBook 14 OLED (2022): A Solid Thin & Light Windows Laptop?,2022-05-12T09:39:46Z,120630,3219,236,May,PumNp_O_Euo
22,Motorola edge 30: The Best Phone Under 30K?,2022-05-12T06:30:06Z,261736,10528,926,May,kzWnQtO9QOs
23,Xiaomi Pad 5 vs iPad 9th Gen: Which One to Buy?,2022-05-10T15:27:38Z,267822,10950,1089,May,zLhG90FbhaU
24,The Simplest Way to Remove Bloatware on Android! (No Root Required),2022-05-06T13:57:27Z,445177,30891,1492,May,YYMY5dOPV1g
25,Fujitsu CH: Super Portable Laptop with OLED!,2022-05-04T07:38:32Z,100510,2787,131,May,LkTUKlvVFlM
26,OnePlus 10R: This Can't Be OnePlus!,2022-05-03T12:37:42Z,380300,16242,1739,May,_iZH1iIGVPQ
27,Realme Pad Mini: A Good Tablet for ₹11K!,2022-04-30T05:30:04Z,106471,4553,286,Apr,Ipstz0m50yA
28,Realme GT Neo3: Dimensity 8100 + 150W Charging TESTED!,2022-04-29T08:51:10Z,111356,6466,677,Apr,Foqu-iQKzLs
29,Xiaomi Pad 5: The Ultimate iPad Alternative?,2022-04-27T10:30:05Z,420294,16127,1503,Apr,nVbyZufrtL0
30,ASUS BR1100C: Best Windows Laptop Under 25K?,2022-04-27T06:45:02Z,87265,2425,197,Apr,s8dFxCLzN8M
31,MSI Crosshair 15 Rainbow Six Extraction Edition Laptop!,2022-04-26T06:42:00Z,126310,1999,86,Apr,abtiEzhV0T0
32,"Moto g52 First Impressions: Good Upgrades at ₹14,499 But...",2022-04-25T06:30:06Z,200526,7398,521,Apr,2hfrf5Y4eRs
33,Samsung Galaxy Book2 360: The Samsung Ecosystem!,2022-04-20T06:49:07Z,181498,6696,389,Apr,As7gTv6-BTA
34,This is Windows 11 Lite!,2022-04-16T13:50:04Z,240838,10642,1196,Apr,zYdIcrHTTLQ
35,MediaTek Dimensity 9000 vs Snapdragon 8 Gen 1: The Ultimate Battle!,2022-04-15T10:21:47Z,189060,8593,754,Apr,xsVynj86GhU
36,MediaTek Dimensity 8100 & 9000: What's New?,2022-04-11T06:30:14Z,145183,3670,239,Apr,y33QoVRmWk4
37,10 Gadgets Under ₹50 That Are Actually Useful!,2022-04-09T14:28:47Z,136345,10001,507,Apr,sCPq9Jwgfvg
38,Realme GT 2 Pro: 8 Gen 1 + LTPO 2.0 at 50K!,2022-04-07T08:30:08Z,139086,6905,532,Apr,z2YPEA90l7A
39,Chrome 100: 10 Big Features & Changes!,2022-04-03T05:59:14Z,115859,5833,368,Apr,syF0qgMFcJw
40,7 Super Useful Windows 11 Apps - 2022!,2022-03-30T15:25:47Z,194373,9354,328,Mar,zkgfTFdw2f8
41,Samsung Galaxy A53: Exynos is the Dealbreaker!,2022-03-28T06:30:18Z,147180,6435,759,Mar,vpRL68C2XCs
42,OPPO Pad: The OnePlus Tablet?,2022-03-26T13:09:23Z,266222,12259,559,Mar,ox3-eCvHoqA
43,ASUS ZenBook 14 Flip OLED (2022): A Good 2-in-1 Laptop?,2022-03-21T06:35:00Z,107853,2742,222,Mar,IrcQh9JLJwI
44,10 New Windows 11 Features That Are Actually COOL!,2022-03-17T12:37:00Z,324949,13246,769,Mar,W8wQfheV3a0
45,ASUS ROG Strix Scar 15 (2022): For Hardcore Gaming!,2022-03-15T06:41:41Z,79053,3507,201,Mar,cj258jDH-zE
46,The Ultimate Snapdragon 8 Gen 1 Throttling Test! 🔥,2022-03-12T12:47:27Z,242266,21616,1144,Mar,222d4GYrkPM
47,Redmi Note 11 Pro+ First Impressions: Worth The Price?,2022-03-09T07:48:26Z,183111,7886,691,Mar,9VkbJZi7xXY
48,Samsung Good Lock 2022: Just Insanely Good!,2022-03-07T12:40:00Z,324119,12205,605,Mar,NFcSYNT8K9M
49,iQOO 9 SE: Value for Money Smartphone!,2022-03-05T06:30:05Z,172361,7708,572,Mar,Zmax7S1nl6I
50,Mercedes Maybach GLS 600: Luxury Tech at ₹3 Crore ONLY!,2022-03-03T13:20:05Z,144054,10810,859,Mar,4HP-EDv5Gw0
51,Samsung Galaxy S22 Ultra: Burning Questions Answered!,2022-03-02T15:09:27Z,120885,5055,376,Mar,LNFKFYnFlvU
52,Motorola Edge 30 Pro: Flagship Specs vs Cost Cuttings!,2022-02-25T06:30:03Z,187971,7219,527,Feb,FgfEfE-Xtug
53,iQOO 9: A Phone Designed to Target OnePlus!,2022-02-23T07:08:09Z,147198,6872,483,Feb,5nILTPKAGbU
54,7 Android Developer Options You Should Tweak!,2022-02-22T13:23:41Z,139418,9680,377,Feb,40TwxSJuUsg
55,ChromeOS Flex: A Lifeline for Old Windows Laptops!,2022-02-18T14:51:16Z,600803,26624,1764,Feb,B6px1dpKUGw
56,OnePlus NORD CE 2: I am Confused!,2022-02-17T13:50:01Z,344063,12165,838,Feb,ENU0OTlZ_Ps
57,Realme 9 Pro+ Review: Should You Buy?,2022-02-16T09:30:11Z,194796,7779,765,Feb,P273wypMmn0
58,Redmi Note 11 First Impressions: Upgrade or Downgrade?,2022-02-15T08:28:29Z,207288,6827,463,Feb,3N-AReH1JzQ
59,Infinix Zero 5G First Impressions: Performance or More?,2022-02-14T06:30:01Z,122388,4254,303,Feb,64j4qP5zty0
60,Android 13: 5 Big Features!,2022-02-11T14:52:30Z,376556,14994,1007,Feb,XAgX1Wt8iZc
61,The Windows 11 Phone!,2022-02-05T15:18:29Z,1839920,62049,3849,Feb,3MzMiiu3sYM
62,OPPO Reno7 Pro 5G First Impressions!,2022-02-04T07:11:16Z,121182,3823,232,Feb,0Xgl_GwD13I
63,Apple tvOS vs Android TV: A Huge Difference!,2022-02-01T14:36:25Z,180529,10200,791,Feb,jMY29Cl_rBE
64,OnePlus 10 Pro: Something is Missing!,2022-01-29T14:45:21Z,175449,8014,497,Jan,wfEE6mtOInE
65,10 Useful Laptop Gadgets in 2022!,2022-01-27T13:16:29Z,533810,33109,669,Jan,t7hyafS-0MY
66,Samsung Galaxy Tab A8: What's New?,2022-01-21T11:48:05Z,136442,3624,339,Jan,hkwDomMoh3k
67,MIUI 13 in Action: A Detailed Look!,2022-01-20T07:43:29Z,627942,22023,1181,Jan,1f2XOkdUxwo
