,Title,Published_date,Views,Likes,Comments,Month,ID
0,ROG Phone 6 Pro - The COOLEST Phone,2022-07-05T12:41:37Z,346158,18393,1294,Jul,uWzwovY9u-E
1,My Thoughts on the Nothing Phone,2022-07-01T01:02:01Z,813418,36415,3345,Jul,SNjlnEIGtfw
2,The Old / New M2 MacBook Pro,2022-06-24T19:45:18Z,518000,18713,1013,Jun,_3-rscgRsYM
3,My Thoughts on M2 MacBook Air + iOS 16,2022-06-07T04:37:53Z,1142216,38768,2322,Jun,duj4CvXimQU
4,The “New” iPhone 14 - LOL?,2022-05-28T15:15:58Z,1028190,37197,2599,May,Aao-RX5DZcA
5,The Fastest Android Phone - ASUS ROG,2022-05-20T13:01:43Z,531826,25023,1909,May,1WIFY7_TZUE
6,Incredible Laptops from ASUS - Flow X16 + Strix SE,2022-05-17T14:34:40Z,666653,27466,1236,May,lWqlDixckSI
7,XPS 13 Plus - Cleaner And Faster Than A MacBook!,2022-04-30T01:01:31Z,1759679,62400,3942,Apr,6fPj6mj-M_k
8,The Mystery Of MacBook Speakers,2022-04-09T18:07:05Z,924833,51427,3997,Apr,LkYB931iUjc
9,MSI Stealth GS77 Review,2022-04-06T19:06:52Z,442760,16235,579,Apr,NSVUw3KF5PE
10,Lenovo Legion 5i Pro Review,2022-03-30T21:45:07Z,561773,21690,914,Mar,WMGrMWybnrw
11,You’ve Gotta See This FOLDING Laptop!,2022-03-23T19:44:36Z,1088034,45184,2040,Mar,jFGhvYLbBRE
12,Mac Studio Review - The Need for SPEED,2022-03-17T13:30:08Z,849373,36741,1693,Mar,sJ2x2JVCh1Q
13,2022 iPad Air 5 (M1) Review,2022-03-16T13:00:16Z,760012,26332,1149,Mar,pmCQtrKBALU
14,Apple's NEW Mac Studio!,2022-03-09T06:54:43Z,586652,25806,1545,Mar,8_v2SA5uLbc
15,The Best Gaming Laptop Was Dethroned!,2022-03-05T17:47:07Z,1322958,41493,1554,Mar,pDQGqipmuFA
16,Steam Deck Review - I Love This Thing!,2022-02-25T21:15:43Z,1496930,62253,3088,Feb,zxcvwuaXC_w
17,Samsung Galaxy Tab S8 Ultra Review!,2022-02-19T18:49:27Z,1492748,50595,2770,Feb,JexvBG9J6qA
18,Asus ROG Zephyrus G14 (2022) Review,2022-02-17T14:06:41Z,864897,31723,1699,Feb,S5iXvDAwNVI
19,Alienware X14 Review - The Mini Laptop,2022-02-11T13:37:13Z,891197,33412,1252,Feb,rHA87rBVkk8
20,Samsung Galaxy S22 Ultra vs S22 - Unboxing + Impressions,2022-02-09T15:04:24Z,1256869,41104,2528,Feb,3kLr60XFr90
21,Do New Android Phones Suck?,2022-02-05T18:18:59Z,895347,44153,2607,Feb,Gw6taLNMIXI
22,The CRAZIEST Way to Cool a Laptop,2022-01-29T20:14:09Z,752172,30269,1290,Jan,VjiLBhmiMMw
23,This Laptop Is Faster Than Your Desktop,2022-01-25T13:59:31Z,1299783,48650,2805,Jan,VHUF8A2vpos
24,S21 FE - Don't Listen To The Hate,2022-01-15T17:51:35Z,940648,41657,2699,Jan,t3MAu9WxPAE
25,ASUS Is Already Killing It!,2022-01-08T19:51:14Z,1975689,63578,2580,Jan,PdBTkgtnTsw
26,2022 Laptops Are Gonna Be AWESOME!!!,2022-01-04T20:11:45Z,895693,36496,1645,Jan,oDwY5N0Bk_w
27,How Has Nobody Made This Before?,2021-12-18T17:56:19Z,1758668,61764,3719,Dec,3mTV1TOblbA
28,Oppo Find N - Folding a Phone Better than Samsung?,2021-12-15T10:26:59Z,580008,24905,1632,Dec,1uDfnHoPq3w
29,The Best Laptops - 2021 Picks!,2021-12-03T22:01:06Z,1244247,41717,3505,Dec,P6mrmEtmBhE
30,Surface Pro 8 vs $600 Slate,2021-11-27T15:13:51Z,730092,24057,1287,Nov,A0qJahE3y7I
