,Title,Published_date,Views,Likes,Comments,Month,ID
0,Lokicraft VS Lokicraft 2022,2022-07-07T13:00:08Z,1092,51,6,Jul,8NNL9uui_8c
1,IslandCraft VS Craftsman,2022-07-06T13:00:35Z,5259,117,8,Jul,tOX7UDuPmcM
2,Craftsman VS Craft Dragon Tree Robo,2022-07-04T13:00:31Z,4608,107,26,Jul,XkjuA98zNlQ
3,Crafting And Building VS CraftbDragon Tree Robo,2022-07-03T13:00:18Z,6347,128,24,Jul,d_fmuRO0qJk
4,Minecraft VS Craft Dragon Tree Robo,2022-07-02T13:00:31Z,8845,164,14,Jul,fhuViEuEnyE
5,Minecraft PE 1.19 Survival Gameplay Part 3 - Diamonds!!!,2022-07-02T10:26:10Z,4160,118,10,Jul,DUdm60k-ci4
6,Lokicraft VS IslandCraft,2022-07-01T13:00:24Z,9260,169,12,Jul,j7L-dYerqOY
7,Minecraft PE 1.19 Survival Gameplay Part 2 - Diamond Horse,2022-07-01T11:29:51Z,2548,58,20,Jul,wMrlqs50FC4
8,Minecraft VS IslandCraft,2022-06-30T13:00:24Z,14523,223,10,Jun,nTr69ii0ruE
9,Minecraft PE 1.19 Survival Gameplay Part 1 - Villager,2022-06-30T12:30:14Z,4125,114,18,Jun,ds5WOWKf2wM
10,Masih mencari Warden & Ancient City - Minecraft Survival 1.19 Indonesia,2022-06-29T20:27:53Z,2141,53,7,Jun,LA8x5OpQjL0
11,Marvel's Spider-Man Remastered Gameplay Episode 2,2022-06-29T17:08:37Z,759,27,1,Jun,Fpj7hudFhTo
12,Craftsman VS Craft Game Maxi Fun,2022-06-29T14:00:11Z,4329,88,4,Jun,Ps5Kx1G1DJQ
13,Marvel's Spider-Man Remastered Gameplay Episode 2,2022-06-29T03:54:53Z,467,18,4,Jun,q9N09v8XFCo
14,Getting Over It!!! The Hardest Game ?,2022-06-29T01:23:15Z,715,63,7,Jun,t1NyPcEjMgs
15,"#4 Diamond, Farm & Ancient City - Minecraft Survival 1.19 Indonesia",2022-06-28T20:17:20Z,1892,56,9,Jun,J-coi65kTnA
16,Marvel's Spider-Man Remastered Gameplay Episode 1,2022-06-28T15:56:29Z,931,60,3,Jun,lan7_n9f8AM
17,Crafting And Building VS Craft Game Maxi Fun,2022-06-28T12:30:29Z,6514,113,7,Jun,qs7XhX0RHeQ
18,Mabar!!! Stumble Guys Live Play Together,2022-06-28T02:45:00Z,1297,73,3,Jun,mmLPZxi4NlI
19,#3 Lanjuuut!!! Minecraft Survival 1.19 Indonesia,2022-06-27T22:32:26Z,1540,84,8,Jun,hw53tEZVaXk
20,Minecraft Trial VS Craft Game Maxi Fun,2022-06-27T13:00:24Z,9302,140,6,Jun,mkK-A2NFM3w
21,Bikin Rumah!! - Minecraft Survival 1.19 Indonesia,2022-06-25T13:30:10Z,2552,89,23,Jun,L8_Hw7YJCN0
22,Minecraft VS Craft Game Maxi Fun,2022-06-25T12:30:13Z,9899,207,8,Jun,gLLIhHFtDhI
23,"Ada Outpost, Village & Ancient City - Minecraft Survival 1.19 Indonesia",2022-06-24T13:05:09Z,1590,87,7,Jun,Dh4CDZMHl8k
24,KawaiiWorld VS Master Box Craft,2022-06-24T12:30:19Z,3952,75,4,Jun,drFkc8MgwUA
25,Aku Bikin Jalan Menuju Warden di Ancient City - Minecraft Survival,2022-06-23T20:14:44Z,1257,82,6,Jun,y9QjY0qtkwQ
26,Craftsman VS Master Box Craft,2022-06-23T12:30:04Z,4797,108,6,Jun,9yEbO5wPLYQ
27,Crafting And Building VS Master Box Craft 2022,2022-06-22T13:00:55Z,5137,97,5,Jun,dx2kiPeOtBg
28,Minecraft 1.19 Warden Update Survival Mode - Kita Bikin Rumah! Setuju?,2022-06-21T20:40:01Z,1763,99,5,Jun,ZBdml7wJ4tw
29,Minecraft VS Master Box Craft 2022,2022-06-21T14:30:54Z,7460,135,3,Jun,ynHih6zYWDI
30,Craftsman VS Craft Forrest Earth Monster,2022-06-20T12:30:06Z,5071,125,4,Jun,QMr0y42rS70
31,Crafting And Building VS Craft Forrest Earth Monster,2022-06-19T15:30:02Z,5245,153,7,Jun,JvgWcx4ej1Q
32,Minecraft VS Craft Forrest Earth Monster,2022-06-19T12:30:37Z,12957,210,6,Jun,zFh0o00VTsY
33,Minecraft 1.19 Warden New Update Survival Mode,2022-06-18T16:58:11Z,2086,135,13,Jun,c_5lrNk0T0o
34,KawaiiWorld VS Lokicraft 2022,2022-06-18T12:30:13Z,8364,160,7,Jun,kyq1hyobRig
35,Craftsman VS Lokicraft 2022,2022-06-17T12:30:01Z,8704,157,9,Jun,at5pqQbDJ5k
36,Crafting And Building VS Lokicraft 2022,2022-06-16T12:30:26Z,6691,153,11,Jun,tg60mUUOUIw
37,Spider Hero 2 Gameplay part 1 - Games Like Spider-Man: Miles Morales,2022-06-16T10:00:23Z,5363,126,4,Jun,HL_THXRir-k
38,Minecraft VS Lokicraft 2022,2022-06-15T12:30:26Z,33475,445,11,Jun,AGyGnDEGMck
39,Minecraft 1.19 Warden New Update Survival Mode,2022-06-15T02:34:59Z,3030,142,8,Jun,NORh_qXFdPA
40,Marvel's Spider-Man: Miles Morales 100% Cleared Ultimate Difficulty (PS5),2022-06-13T19:49:51Z,1038,23,1,Jun,a1vv3B7VGfQ
41,Minecraft VS KawaiiWorld VS Venom City Craft VS Impact Craft VS HitCraft VS Craftsman,2022-06-13T12:30:52Z,29358,417,13,Jun,WAsguYJm6l4
42,"Minecraft Survival NEW UPDATE ""Warden"" - Multiplayer Splitscreen (PS5)",2022-06-13T03:15:56Z,3014,106,7,Jun,7RY3Fq6iKkY
