,Title,Published_date,Views,Likes,Comments,Month,ID
0,INSANE 200IQ 1V3... | Grinding for the RLCS World Championship | Supersonic Legend | Rocket League,2022-07-05T22:00:06Z,96155,4249,174,Jul,ApO2tWY06XA
1,You won't believe how I won this game... | Road to RANK #1 | Supersonic Legend 2v2/3v3,2022-07-02T21:00:01Z,131804,4846,180,Jul,-mZtwu6Ofrk
2,The Cloud9 duo goes for RANK #1 in Rocket League... | Supersonic Legend 3v3,2022-06-28T22:00:02Z,126879,4585,171,Jun,4SX-9Vbo5Yg
3,Doing my first 3s placements of the new season... | Teamwork is the KEY! | Supersonic Legend 3v3,2022-06-25T00:00:00Z,110417,4342,160,Jun,1BNW1chExfM
4,Dominating my first games of the season?! | Supersonic Legend 2v2 | Rocket League,2022-06-22T01:26:51Z,169933,6146,252,Jun,pdg5yD2uM8I
5,This decal is INSANE! | My first games of the NEW season… | Rocket Pass Showcase | SSL 1v1/2v2,2022-06-18T21:00:05Z,183209,6259,284,Jun,GwgrZCQeIBk
6,Can we get TOP 10 Before The New Season?? | 200 IQ 1v1 Plays! | Supersonic Legend 1v1/2v2,2022-06-14T22:26:09Z,140207,5604,201,Jun,9qa-fCBKv2g
7,Playing with one of the best PRODIGIES In Rocket League… | Supersonic Legend 2v2,2022-06-11T22:14:57Z,149215,5926,267,Jun,YEbR49VzJ70
8,The C9 duo REUNITES to climb to RANK #1... | INSANE 200 IQ Mind Game! | Supersonic Legend 2v2,2022-06-07T22:42:55Z,145443,5779,199,Jun,Vkq6u3XG1Jw
9,Putting my 1v1 skills to the test… | Running into the 4-time world champion?! | SSL 1v1/2v2,2022-06-04T21:00:28Z,154731,5980,356,Jun,io_6ffP611g
10,BECOMING A FENNEC MAIN… | Road to RANK #1 (Top 50) | Supersonic Legend 2v2,2022-06-02T20:58:32Z,186821,6700,282,Jun,xQ-BoeI8uCg
11,Going for RANK #1 before the end of the season… | so many 200 IQ plays | SSL 2v2 | Rocket League,2022-05-27T21:00:49Z,146265,5501,326,May,9hI9A8aXa2E
12,INSANE 1100+ POINT GAME | Can we make the comeback?! | Air dribble bumps are too OP...  SSL 2V2,2022-05-25T22:09:06Z,193715,6957,274,May,ASTGIgmzgVQ
13,Running into a PRO in 1v1... | Becoming a 1s player again!? | SSL 1v1/2v2,2022-05-21T22:19:45Z,158182,6058,212,May,-3QYiKUC9oc
14,Back on the grind for RANK #1 in Rocket League... | Hitting the PERFECT Double Tap! | SSL 2v2,2022-05-18T21:00:25Z,136730,5618,194,May,rhZTXFNfKJM
15,My first look at the NEW voice chat feature… | WE QUALIFIED FOR THE WORLD CHAMPIONSHIP! | SSL 2V2,2022-05-14T22:00:10Z,133900,5740,259,May,0l9ycIj5tQ0
