,Title,Published_date,Views,Likes,Comments,Month,ID
0,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #25 | 30 Minutes of Funny Puppy Videos 2022,2022-07-06T19:22:16Z,30059,214,17,Jul,__x3U0JD5Uk
1,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #10,2022-07-01T14:11:40Z,218763,1346,59,Jul,mpIgD_xLsYo
2,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #24 | 30 Minutes of Funny Puppy Videos 2022,2022-06-25T17:06:08Z,483552,2527,157,Jun,sOFa--KhbbY
3,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #23 | 30 Minutes of Funny Puppy Videos 2022,2022-06-19T18:19:53Z,283440,1781,108,Jun,ZmknAhRjjlM
4,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #9,2022-06-13T10:05:20Z,249706,1547,53,Jun,BGWS294ovHM
5,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #22 | 30 Minutes of Funny Puppy Videos 2022,2022-06-07T18:03:48Z,174116,1001,55,Jun,6KE_bF7x8Lc
6,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #8,2022-06-02T18:37:25Z,612488,3459,102,Jun,G92E3FWnHm0
7,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #21 | 30 Minutes of Funny Puppy Videos 2022,2022-05-28T17:33:38Z,176649,1054,52,May,BIStT6GmdGA
8,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #7,2022-05-23T17:36:48Z,564482,3246,99,May,rY0wrfFEDhk
9,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #20 | 30 Minutes of Funny Puppy Videos 2022,2022-05-18T16:38:37Z,211780,1505,58,May,_cDzwPbGMhg
10,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #6,2022-05-13T17:34:06Z,249808,1612,90,May,jEMGDo0uPo4
11,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #19 | 30 Minutes of Funny Puppy Videos 2022,2022-05-08T16:16:53Z,460074,2297,82,May,6t6cMQcV4rU
12,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #5,2022-05-03T18:45:57Z,582436,2792,122,May,vwjZcos4KlQ
13,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #18 | 30 Minutes of Funny Puppy Videos 2022,2022-04-28T15:15:26Z,333267,1156,39,Apr,o2F3xlYF7L4
14,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #17 | 30 Minutes of Funny Puppy Videos 2022,2022-04-23T16:44:40Z,805369,4154,146,Apr,FP_kjiEvDm0
15,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #4,2022-04-18T15:36:14Z,407877,1881,74,Apr,ovoEhMov4vI
16,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #16 | 30 Minutes of Funny Puppy Videos 2022,2022-04-13T17:48:42Z,219492,921,31,Apr,Lh7fX9YoSqo
17,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #15 | 30 Minutes of Funny Puppy Videos 2022,2022-04-08T17:54:53Z,168095,876,65,Apr,dGM7BzCAX6Y
18,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #14 | 30 Minutes of Funny Puppy Videos 2022,2022-04-03T18:45:10Z,123482,718,42,Apr,8RKAox8RqwY
19,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #3,2022-03-29T18:07:32Z,293003,1761,89,Mar,FQqjw5NEtRU
20,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #13 | 30 Minutes of Funny Puppy Videos 2022,2022-03-24T17:53:01Z,199867,1029,51,Mar,yC0FQb1buiY
21,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #12 | 30 Minutes of Funny Puppy Videos 2022,2022-03-19T17:51:52Z,267129,1320,54,Mar,rokeUYS1-n0
22,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #2,2022-03-14T16:51:20Z,511090,2735,114,Mar,60n6IRoA46c
23,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #11 | 30 Minutes of Funny Puppy Videos 2022,2022-03-08T17:09:55Z,118626,592,44,Mar,yLpiHtUOZDo
24,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #10 | 30 Minutes of Funny Puppy Videos 2022,2022-03-02T17:57:36Z,194751,1030,94,Mar,8nkhuIaPlpk
25,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #9 | 30 Minutes of Funny Puppy Videos 2022,2022-02-25T13:36:19Z,889931,4344,136,Feb,dAYsUNGECJ8
26,Funniest & Cutest Golden Retriever Puppies - 30 Minutes of Funny Puppy Videos 2022 #1,2022-02-19T18:12:53Z,1658678,6608,196,Feb,Z6IRLZs4FVM
27,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #8 | 30 Minutes of Funny Puppy Videos 2022,2022-02-13T17:31:12Z,193234,1029,41,Feb,vlCewVgZiCo
28,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #7 | 30 Minutes of Funny Puppy Videos 2022,2022-02-08T18:27:54Z,133524,704,52,Feb,xEWOaRbT6PU
29,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #6 | 30 Minutes of Funny Puppy Videos 2022,2022-02-03T15:24:02Z,355937,1642,43,Feb,1WYQ2itdULs
30,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #5 | 30 Minutes of Funny Puppy Videos 2022,2022-01-29T03:20:30Z,480052,1492,62,Jan,Zmpa-x_FZxg
31,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #4 | 30 Minutes of Funny Puppy Videos 2022,2022-01-23T18:35:56Z,1637100,10579,432,Jan,0DPZ9b9ZZr4
32,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #3 | 30 Minutes of Funny Puppy Videos 2022,2022-01-16T17:12:41Z,292628,1207,51,Jan,x9JK--dtIDs
33,Baby Dogs 🔴 Cute and Funny Dog Videos Compilation #2 | 30 Minutes of Funny Puppy Videos 2022,2022-01-11T15:21:59Z,225725,942,26,Jan,tLMpPbpZ9OY
