,Title,Published_date,Views,Likes,Comments,Month,ID
0,"HELP! Cat Trapped 20M Above Ground, About To Fall (Part 1)  | Animal in Crisis 328",2022-07-06T22:00:33Z,18258,1206,51,Jul,x5cbNtUlNKU
1,Chemistry Between 8 Months Old Dog And 80 Years Old Grandma💕l Kritter Klub,2022-07-05T22:00:20Z,25162,1369,69,Jul,s1XlhBoUIkg
2,Paper Animal Scrapbook Project [Parrot] 🦜 | Kritter Klub Shorts,2022-07-05T13:00:11Z,6389,425,10,Jul,ByCMb5tuhNY
3,What You Must Expect When Feeding Retriver Puppers l Kritter Klub Shorts,2022-07-04T13:00:05Z,13534,751,15,Jul,DyZbQwTPS9Q
4,Retriver Puppies Are Carried Away By A Wheelburrow (Part 2) l Kritter Klub,2022-07-03T11:00:27Z,34645,1469,56,Jul,r1uabN3Y7a8
5,Retriever Pup Taking A Bath In A Pot (Part 1) l Kritter Klub,2022-07-02T22:00:20Z,23455,1337,43,Jul,XsFUQbTwQ0M
6,Raccoon Bothers Grandma All Day To Play (Part 2) | Kritter Klub,2022-07-02T11:00:03Z,22016,1041,52,Jul,63Pl9ryiJ78
7,Rescued Raccoon Thinks The Lady's His Mom (Part 1) | Kritter Klub,2022-07-01T22:00:13Z,39451,1830,55,Jul,VkSzqyH64ao
8,Dog's Friend Died And She Lost Will To Live... l Animal in Crisis Ep 327,2022-06-30T22:00:16Z,82384,4685,220,Jun,_IYRo37MX8M
9,Rescued Kitten Going Into Hiding Where No One Can Imagine | Before & After Makeover Ep 35,2022-06-29T22:00:09Z,55136,2762,100,Jun,JR_tDO4h19E
10,Reason Why The Guardian Can't Be Harsh On This Fat Cat l Kritter Klub,2022-06-28T22:00:10Z,45943,2051,89,Jun,TV0teeH5dOo
11,Haetnim (Otter) In The Area! ⚠ Attention Needed | Kritter Klub Shorts,2022-06-27T13:00:08Z,18014,1011,10,Jun,Aqv-yjRcsLs
12,Lonely Parrot Lashes Out On Doggo Because...? l Kritter Klub,2022-06-26T11:00:32Z,29771,1256,53,Jun,n3wQ76wA0Js
13,Reason Why 3-Legged Cat Waits For Bus No.537 l Kritter Klub,2022-06-25T22:00:18Z,62665,3105,148,Jun,nK6S1jT1EzA
14,Dogs That Had To Kill To Survive (Part 2) | Kritter Klub,2022-06-25T11:00:14Z,34297,1604,92,Jun,Sc9gSHc72CY
15,Mom Cat Loses 2 Kittens To Wild Dogs' Heartless Hunt (Part 1) | Kritter Klub,2022-06-24T22:00:14Z,41677,1882,166,Jun,ImYXx7gWFkE
16,Abused Dog Isolated Herself From The World...l Animal In Crisis Ep 326,2022-06-23T22:00:28Z,530496,22798,1409,Jun,yvYfRnUmwbI
17,Reason Why Mom Goat Butt Her Kid With Her Horns | Before & After Makeover Ep 34,2022-06-22T22:00:16Z,91671,2756,142,Jun,NR6IlYXSn8I
18,Farewell From Doggos Who Live At The Veterinary Hospital! l Animal Hopital For Tiny Animals Ep 12,2022-06-21T22:00:05Z,27563,1618,79,Jun,EGHbDsoIsK4
19,"Raccoon's Fat DOES Jiggle Jiggle, It Folds 😎 (Feat. Duke & Jones) | Kritter Klub Shorts",2022-06-20T13:00:19Z,19857,1139,26,Jun,M-ZPDd5tY4E
20,A Team Of 4 Lion Cubs Train Before Moving Into Safari (Part 2) l Kritter Klub,2022-06-19T11:00:22Z,22467,1069,48,Jun,XNHzujt35gE
