,Title,Published_date,Views,Likes,Comments,Month,ID
0,HIPPO ATTACKS 3 LIONS CROSSING THE RIVER,2022-07-05T09:01:08Z,446283,6068,1521,Jul,Qn_AP9liBKw
1,WILD DOGS DISTRACT LION TO SAVE CAUGHT PACK MEMBER,2022-06-28T08:59:08Z,85802,1810,642,Jun,UeYLAHB0d5U
2,Leopard Shows No Mercy While Hunting Serval,2022-06-21T08:01:28Z,169342,2261,701,Jun,gbSpsfwct98
3,LEOPARD SENDS TRAPPED GENET FLYING,2022-06-14T09:02:06Z,1016274,8326,419,Jun,V7sPcRXltN0
4,HYENA IN LION'S GRIP DEFIES ODDS,2022-06-07T07:59:22Z,335082,2870,870,Jun,3_B78UfPOJI
5,Leopard Almost Hunts on top of Hippo Hiding in the Mud,2022-05-24T09:13:12Z,5623456,11307,533,May,dEPiDDvmKk4
6,SECRETARY BIRD HARASSES JACKAL,2022-05-22T16:27:13Z,543045,1949,202,May,pJtXmh8AQA8
7,ANGRY BIRDS GANG UP & ATTACK SNAKE,2022-05-17T09:50:34Z,2815401,20031,2804,May,ZfDIHxlks6g
8,BUFFALO THINKS HE CAN SNEAK PAST 23 LIONS,2022-05-11T09:18:48Z,544043,5287,1703,May,DHeUHecMm6g
9,Giraffe That Can Never Drink Because Water Keeps Falling Out,2022-05-04T06:38:09Z,962857,3187,447,May,fUof99jZfwQ
10,Two-Legged Hyena Still Alive 9 Months After Lion Attack,2022-05-01T08:58:28Z,180825,2366,647,May,u4pZCO9W9U8
11,How Not To Wake Up a Male Lion,2022-04-26T09:15:17Z,62616,1082,139,Apr,BfW4D_pR2vE
12,Live Safari from the Kruger National Park,2022-04-16T07:36:12Z,38087,536,28,Apr,LX_MUiM8eAs
13,Can 1 Lion Take Down a Giraffe?,2022-04-12T08:36:20Z,139374,1902,209,Apr,gbBg_Orolas
14,GIRAFFE TRIES SAVING HER DEAD CALF FROM HYENAS,2022-04-05T07:53:36Z,88102,1204,174,Apr,XH9h_VBsFEE
15,Leopard Bumps Into Giraffe On The Road,2022-04-03T14:35:42Z,118991,2816,155,Apr,v7emb7YXiqI
16,Lion Cubs Play Whack A Mole with Geese,2022-03-29T08:42:51Z,451478,2915,243,Mar,UVLANKA4FnI
17,Wild Dogs vs Baby Hippo,2022-03-27T06:23:48Z,131003,2064,205,Mar,GKh-pvMdsy0
18,CHEETAH CHASES IMPALA INTO BMW,2022-03-22T08:27:53Z,262567,2164,508,Mar,ZA5kFR7E1v8
19,Crocodiles Fight For Their Life,2022-03-20T10:39:42Z,109089,1442,188,Mar,X81_8oO1KuY
20,Intense Battle Between Newborn Cheetah and Newborn Buck,2022-03-15T10:20:06Z,364122,4642,788,Mar,JMJlzejh6IY
21,HERON SHOWS OFF ITS EPIC HUNTING SKILLS,2022-03-13T08:41:13Z,45064,1248,144,Mar,BrQEq_VC2zs
22,LEOPARD STEALS BABY BIRD FROM NEST,2022-03-08T08:43:00Z,1480253,5530,534,Mar,2ej4txktV64
23,Birds Desperately Defend Their Chicks From Snake,2022-03-01T08:13:27Z,209445,1567,174,Mar,Xtu6mEmt3BA
24,WILD DOGS HUNT ANTELOPE ON EDGE OF CLIFF,2022-02-24T12:57:25Z,7986065,53304,2675,Feb,yvLFVmn5P6I
25,DEAD IMPALA TORMENTS MALE LION,2022-02-22T07:53:36Z,1122703,4969,276,Feb,rR4d2Vk1HKc
26,Wild Dogs Take On Crocodiles,2022-02-20T14:43:17Z,466335,3960,310,Feb,k9UiMqhMOhI
