,Title,Published_date,Views,Likes,Comments,Month,ID
0,My Dog Bakes Herself A Little Brother,2022-03-24T15:00:11Z,226475,20365,411,Mar,DHnA4B1mAso
1,Things You Give Up When You Get A Samoyed,2022-03-14T15:00:01Z,471691,22284,924,Mar,2Xz01KxeeLk
2,Dog Eating Mint Jelly From Genshin Impact (ASMR) I MAYASMR,2021-09-28T13:00:14Z,3236722,110783,7149,Sep,VsHyWyLwxDg
3,Dog Tests Different Human Items #2,2021-07-31T13:00:23Z,382543,19325,1217,Jul,TwzhWCYt8Fg
4,My Dog Does Her Favorite Things On Her Birthday !,2021-07-23T13:00:12Z,256798,17485,1658,Jul,oXK6Wj36-kI
5,Will My Dog Fight Robot Vacuum When It Comes To Food? I Viomi Alpha (S9),2021-06-24T13:30:02Z,1073854,24257,1468,Jun,B9EHIy2ok4Y
6,Funny Differences Between Female And Male Samoyeds!,2021-06-23T12:00:14Z,1150919,51364,3178,Jun,nke4Y7bKO60
7,Best of 2020 ❤️ Happy New Year!,2021-01-01T16:32:07Z,363968,20469,4030,Jan,j0HnluxlaKo
8,Cutest Bunny Dog Ever 🐰 I VLOGMAS WEEK 3,2020-12-29T13:00:31Z,433339,19423,1757,Dec,lycDZYwcqq0
9,My Dog Gets The BIGGEST Jerky Stick 😳 I VLOGMAS WEEK 2,2020-12-24T15:25:12Z,297629,13866,1685,Dec,glXSK4ROo4w
10,I Surprise My Dog With 24 Presents Until Christmas I VLOGMAS WEEK 1,2020-12-09T15:06:01Z,309780,15879,1882,Dec,2Jn2ojw0h1c
11,Things My Dog Does That Just Don't Make Sense,2020-11-13T13:06:41Z,911923,48776,4082,Nov,FWJuLR08P64
12,Ghost Steals My Dog's Food 😱,2020-11-06T13:21:47Z,422422,23539,1829,Nov,ge7y_ipxWcU
13,Funny Dog Cooking And Eating Healthy Food (ASMR) I MAYASMR,2020-09-24T12:56:44Z,660759,30366,3379,Sep,7tkYHRcPtKA
14,My Dog Got The Best Birthday Surprise Ever! [With DIY Dog Birthday Cake Recipe],2020-07-23T16:38:04Z,2121773,49691,7983,Jul,Gux1lEA61hA
15,Dog Tests Different Human Items #1,2020-07-04T13:23:04Z,689139,30498,2104,Jul,RqM-bRc7ZTI
16,Kissing My Dog Too Much! Does It Annoy Her? 😂,2020-06-19T13:00:11Z,629462,32391,2786,Jun,NTukXp-Nyo8
17,ASMR Dog Reviewing Different Types of Food #8 I MAYASMR,2020-05-31T13:18:37Z,869285,37270,3785,May,AvfiJOLqlR4
18,My Dog’s Reaction To The Obstacle Challenge,2020-05-26T13:00:11Z,3145343,49445,2529,May,Glm8jyN3Mfo
19,Different Types of People in Video Calls,2020-05-19T13:46:56Z,806574,45203,3669,May,JSUGqR9jY64
20,ASMR Dog Reviewing Different Types of Food #7 I MAYASMR,2020-05-16T13:03:07Z,833283,36303,3378,May,4ZdzR4Hyd1A
21,My Dog Surprised Me On Mother's Day !!! 😍,2020-05-10T18:34:29Z,945033,50703,5090,May,d70hU1VMe-o
22,My Dog’s Reaction To The Toilet Paper Wall Challenge,2020-05-08T13:07:41Z,3401413,88898,5894,May,xWnciRklc9E
23,22 Types of People in Quarantine,2020-04-29T13:24:51Z,2380213,104891,10052,Apr,_gDAbFjbUmU
