,Title,Published_date,Views,Likes,Comments,Month,ID
0,Are Cell Phones Mutating the Shape of Our Bones?,2020-06-29T21:39:35Z,102464,2558,370,Jun,oXEqt7hnIb8
1,5 Most AMAZING Scientific Discoveries of the Decade,2020-06-23T22:13:47Z,40442,1476,115,Jun,XzumfNOd_C0
2,How Will Our Universe End? Big Crunch Theory,2020-06-12T21:12:36Z,31634,1203,140,Jun,Dr0dr31ySI8
3,Is Time Travel ACTUALLY Possible?,2020-06-04T01:40:50Z,44929,1985,260,Jun,8R_lUwKBkyo
4,Can We Build a Planet From SCRATCH?,2020-05-25T22:48:39Z,29936,1412,136,May,9AGtLtlieaw
5,How The Internet is CHANGING Your Brain,2020-05-22T18:49:18Z,29445,1422,141,May,yOwslloePe0
6,The Telescope Built at the BOTTOM OF THE SEA,2020-05-12T21:00:16Z,25306,1289,81,May,Kem1UFujLlg
7,How Sleep Deprivation is Affecting Your BRAIN,2020-05-08T16:23:37Z,27930,1638,109,May,J25C9LoLCw8
8,WHAT IF An Asteroid COLLIDED With Earth,2020-05-01T21:59:22Z,26921,1264,146,May,53MakJXpXKc
9,Astronomers Discover FAST SPINNING BLACK HOLES In Space,2020-04-27T20:53:35Z,28279,1646,174,Apr,qEX9KvSR6Xs
10,"A ""WALL"" is Found At The EDGE Of Our Solar System",2020-04-21T23:09:14Z,83877,3998,490,Apr,qYgIfpsEPiU
