,Title,Published_date,Views,Likes,Comments,Month,ID
0,The i9 Killer? AMD Ryzen 5800X3D Tested,2022-07-05T15:38:36Z,100959,5632,753,Jul,Md6YxfnhpAU
1,RTX 4080 Leaks – What to Expect,2022-06-28T12:08:34Z,300208,8883,1487,Jun,UzZ-GhToUwY
2,"Best Gaming Mice - Logitech vs Razer, Finalmouse",2022-06-20T14:49:54Z,146006,7060,656,Jun,px8YWLVb6NA
3,Endgame ITX - Dan A4-H2O Liquid PC,2022-06-12T13:25:05Z,219405,10441,573,Jun,ibBdEFtBvQM
4,World's Lightest Gaming Mouse (insane),2022-06-07T13:15:50Z,170495,7476,639,Jun,n006S8nue7U
5,My Best Sounding Keyboard - NK65 Entry Cream,2022-05-31T11:55:17Z,140168,5897,555,May,5iOoGitWXDY
6,Fastest Gaming GPUs Under $600,2022-05-26T14:08:24Z,284002,9228,768,May,1eIFtEthuNY
7,Building Aceu's Insane $7000 Gaming PC,2022-05-15T13:34:30Z,461419,24828,1338,May,tB9Bw6U4XOs
8,Glass Skypad vs. Superglides – My Experience.,2022-04-29T13:35:44Z,126038,4770,450,Apr,HfHhDJoAf_Q
9,Reacting to Your Insane Gaming Setups!,2022-04-22T17:03:03Z,212448,7604,489,Apr,JXCcImixNiI
10,"Unbeatable Input Lag + FPS Settings (Frame-cap, Reflex, G-Sync)",2022-04-18T13:32:07Z,213325,10391,755,Apr,N8ZUqT6Tfiw
11,Finally Cheaper GPUs! Buy or Wait?,2022-04-11T16:10:53Z,239748,7941,1240,Apr,9Ss7cMmr508
12,Are Zowie Gaming Monitors Still Good?,2022-04-04T11:03:02Z,204891,6428,575,Apr,t37p6vLyMZ4
13,The Open PC with Infinite Airflow,2022-03-30T11:19:01Z,149489,5961,495,Mar,kMmTMr66Csc
14,The Best ITX Cases I've Reviewed - V3,2022-03-20T12:29:37Z,340470,9848,698,Mar,OWKATJXOLZ4
15,Disappointed –⁠ NZXT Gaming Mouse + Keyboard,2022-03-15T16:08:45Z,121315,5144,311,Mar,qlU73QCnVSc
16,The First Glossy Gaming Monitor,2022-03-11T10:47:48Z,315816,9467,1048,Mar,jFdtJzAgPtA
17,I Tried the Superglide Glass Mouse Skates,2022-03-07T14:24:24Z,543992,14869,708,Mar,Ta5oqp7sg4s
18,Is The New NZXT H1 V2 Worth it?,2022-03-01T11:14:32Z,179740,5384,299,Mar,3r2VWbTBL5c
19,Mini PC Refresh – Liquid 12900K + RTX 3090,2022-02-24T11:05:12Z,287030,9046,691,Feb,ur8ISx1q1Jo
20,"Best and Worst ""Budget"" GPUs - AMD vs Nvidia",2022-02-17T11:27:25Z,176443,6417,534,Feb,GAuU2yWHleI
21,Tiny Case with Perfect Fitment – Dan A4-H2O,2022-02-08T12:56:27Z,387006,10228,755,Feb,69UJCLJ9E4Q
