,Title,Published_date,Views,Likes,Comments,Month,ID
0,Satisfying Videos of Workers Doing Their Job Perfectly ▶15,2022-07-06T17:00:17Z,408778,3570,55,Jul,DeO6WyqjU3A
1,Harvesting the Softest Cotton in the World | Cotton Manufacturing and Processing,2022-07-05T15:00:31Z,182754,2866,118,Jul,W_vIMyAwD54
2,Amazing Inventions & Gadgets That Are On Another Level ▶4,2022-07-01T15:00:07Z,1125218,8587,123,Jul,A-re2QLp1jo
3,Handyman Tips & Hacks That Work Extremely Well ▶12,2022-06-30T14:00:09Z,2475974,10443,132,Jun,JxM8wkPqCBc
4,Amazing Tools That Are On Another Level  ▶36,2022-06-29T14:00:03Z,2068985,9275,173,Jun,2N_NpYuPXSo
5,Car Tips & Hacks That Work Extremely Well ▶3,2022-06-27T16:00:37Z,1242989,6614,206,Jun,zWnGmFFWbY4
6,Why Chinese Purple Clay Pots Are so Expensive,2022-06-27T14:00:15Z,123854,2513,131,Jun,GMadvi9HbLA
7,Genius IKEA hacks to Upgrade Your Home on a Budget ▶3,2022-06-21T17:00:35Z,1957021,27935,324,Jun,uX4EO0P0e7s
8,Amazing Powerful Machines & Extreme Heavy Duty Attachments ▶5,2022-06-20T16:00:27Z,1157442,7610,91,Jun,nZ0SSujGb2o
9,Man builds an Amazing Farmhouse inside a Mountain,2022-06-17T17:00:27Z,3118744,36438,1696,Jun,vzvzV9-Vq4Q
10,Genius Woodworking Tips & Hacks That Work Extremely Well ▶8,2022-06-16T17:00:35Z,4344665,18106,190,Jun,c6WQok5wTts
11,Genius Life Hacks That Work Extremely Well ▶4,2022-06-15T17:00:23Z,4703549,23503,202,Jun,iG062bSpzTU
12,Harvesting the Most Delicious Pineapples in the World | Exotic Fruit Plantation,2022-06-13T17:00:26Z,6274482,21811,567,Jun,u5frQFwjWgo
13,Most Satisfying Machines and Ingenious Tools ▶36,2022-06-12T11:00:03Z,2070932,8604,125,Jun,2TjBYEi3uWQ
14,Smart Furniture | Ingenious Space Saving Designs And Hidden Doors ▶7,2022-06-08T17:00:15Z,8187365,41633,486,Jun,bQA9b4UoZv8
15,Handyman Tips & Hacks That Work Extremely Well ▶11,2022-06-07T17:00:35Z,3760247,19094,241,Jun,yckaGOV-EB4
16,Amazing Versatile Gadgets for Every Home & Smart Appliances,2022-06-06T16:00:05Z,1759111,9125,163,Jun,9UCUHYR_xCI
17,How to Build a Cheap DIY Wooden House Step by Step,2022-06-02T16:00:33Z,574399,8482,268,Jun,eZL09XEX2YE
18,Construction Tips & Hacks That Work Extremely Well ▶6,2022-06-02T16:00:12Z,6890167,21329,196,Jun,Np3wbvi6ucY
19,Construction Workers That Are On Another Level ▶37,2022-06-01T17:00:05Z,1904147,10363,175,Jun,9WM22d3VM0Y
20,Full Renovation of Old Railway From Scratch | Engineering on Another Level,2022-05-31T16:00:32Z,1721787,10777,294,May,rxxBV-w0-lU
21,Amazing Inventions & Gadgets That Are On Another Level ▶3,2022-05-29T16:00:11Z,2591976,13384,185,May,ChxUduMaCo0
22,Fastest and Most Skillful Workers Ever ▶6,2022-05-26T16:00:35Z,3715412,13428,205,May,q33Vck2UFs4
23,Amazing Tools That Are On Another Level  ▶35,2022-05-24T17:00:33Z,3797327,12464,146,May,jAUxovA7AUQ
24,Satisfying Videos of Workers Doing Their Job Perfectly ▶14,2022-05-23T16:00:34Z,8255098,17538,248,May,taOBSyZoQcw
