,Title,Published_date,Views,Likes,Comments,Month,ID
0,Top Android Apps! (July 2022),2022-07-01T10:37:48Z,37322,3020,98,Jul,I0XitoSNA54
1,Galaxy S22+ Review // Four Months Later,2022-06-24T11:58:15Z,26884,1838,182,Jun,AOL67AwK2Tw
2,Huawei MateBook X Pro Review // Four Months Later!,2022-06-17T11:52:34Z,8396,590,39,Jun,EBMhK7vUmrw
3,Clean and Minimal iOS Setup Tutorial!,2022-06-10T11:43:04Z,22303,1074,101,Jun,dSAm2pQFt24
4,Poco X4 Pro Review // Two Months Later,2022-06-06T12:02:43Z,30441,1480,116,Jun,F-JwSGEyHZQ
5,Top Android Apps! (June 2022),2022-06-01T10:06:00Z,60177,3781,141,Jun,RLRc_IH7O_Y
6,10 Underrated Android Features You Need to Enable NOW!,2022-05-26T12:01:52Z,83871,6029,234,May,KaH5_Gcne7w
7,20 Underrated Apps You NEED To Try!,2022-05-20T12:22:48Z,54115,3523,71,May,nrL6Zpw3VrA
8,OnePlus 10 Pro Review // One Month Later,2022-05-16T12:10:33Z,27523,1366,180,May,utTEipeX8IE
9,The Best Android Setups!,2022-05-11T11:59:10Z,36325,2065,88,May,mXCp2yNe5gU
10,Galaxy S22 Ultra Review // Two Months Later!,2022-05-06T12:13:48Z,50462,2115,177,May,FYgEiWFPP5k
11,Top Android Apps! (May 2022),2022-05-01T09:37:13Z,74971,4950,161,May,s5O2CAV_1aU
12,This App Lets you Create 3D Scans that are INCREDIBLE!,2022-04-27T12:02:35Z,13361,992,29,Apr,tH--gE1yNAg
13,Xiaomi 12 IN-DEPTH Review // One Month Later!,2022-04-20T12:02:14Z,34301,1585,175,Apr,fU0kKx6fJmE
14,20 Android Apps I Can't Live Without!,2022-04-15T12:16:32Z,103557,5921,192,Apr,_xqeSvDa5yY
15,How to Install OTA Updates on ANY Rooted Phone!,2022-04-11T12:01:10Z,14905,913,111,Apr,56oyjOjWDDY
16,Pixel 6: The FINAL Review // Six Months Later!,2022-04-06T12:05:28Z,236700,6368,526,Apr,WhrhHjMmwPk
17,Top Android Apps! (April 2022),2022-04-01T10:16:57Z,75339,3861,143,Apr,bfpOvVEl1u4
18,Automatically Change Your ENTIRE Setup Using Focus Modes on iOS 15!,2022-03-25T11:05:07Z,25510,1056,107,Mar,MjljCEqiE74
19,Home Screen Setup Tutorial! (iOS 15 // iPhone 13 Pro),2022-03-21T11:06:52Z,812560,22635,706,Mar,eM6iQ3DHQtg
