,Title,Published_date,Views,Likes,Comments,Month,ID
0,Why #farmers plant #lavender to save toxic land. #shorts #scienceinsider,2022-07-06T18:02:13Z,8265,659,16,Jul,SmjNYD5o6kw
1,How #fruit is turned into #charcoal. #shorts #recycled,2022-06-29T18:00:01Z,18632,905,21,Jun,1XgvoWO-wzI
2,Dermatologists Debunk 8 Body-Odor Myths | Debunked | Science Insider,2022-06-26T18:00:13Z,134784,5913,322,Jun,bJ-CmpYifB4
3,How #sugarcane waste is turned into tableware. #shorts #recycling #waste,2022-06-15T16:00:41Z,2163765,85606,829,Jun,3NFF6QnFXaI
4,How old #refrigerators are #recycled. #shorts,2022-06-09T17:12:05Z,1831756,78831,549,Jun,kWcDIl-BIGg
5,Neurologists Debunk 11 Brain Myths | Debunked | Science Insider,2022-06-05T18:00:23Z,189727,7527,472,Jun,eDQquPtqMZs
6,How electronic waste is #recycled #shorts #electronicwaste,2022-05-18T19:36:06Z,27382,1170,15,May,w4Sl6ngKY6o
7,Eye Doctors Debunk 13 More Vision Myths | Debunked | Science Insider,2022-05-15T18:00:18Z,1398782,43444,1912,May,0ZFtHzZqYDY
8,These #apples were grown in a lab #shorts #scienceinsider #labgrown #plantscience,2022-05-11T18:00:32Z,1460050,63702,2013,May,gCfl39L5GnQ
9,Can Lab-Grown Dairy Give Us A Cow-Free Future? | Lab-Grown | Science Insider,2022-05-05T22:05:04Z,100461,3874,711,May,dIQLqI3Yoqk
10,How #toxic waste is turned into paint #shorts #recycling #scienceinsider,2022-05-05T19:00:45Z,25243,1623,25,May,5aQiNaP55nY
11,How styrofoam is recycled into picture frames #shorts,2022-04-27T18:00:34Z,29032,1536,22,Apr,EwMB3PzfD9c
12,Doctors Debunk 13 Caffeine Myths | Debunked,2022-04-17T18:00:08Z,1535548,38189,2138,Apr,WqAMr-ztG8o
13,How kombucha is made #shorts,2022-04-13T18:00:31Z,237781,5152,178,Apr,UKZN9u1Xc0g
14,Could Lab-Grown Salmon Be The Future Of Fish? | Lab-Grown,2022-04-09T18:00:05Z,1006721,24075,2560,Apr,OWRwrQI3XOY
15,OB-GYNs Debunk 13 Childbirth Myths | Debunked,2022-04-03T18:00:15Z,552344,10517,776,Apr,PPKXzF5xc-g
16,These teddy bears are made from cigarettes | #shorts,2022-03-31T18:44:09Z,4003933,315952,4304,Mar,X5_mafh6EJE
17,Dentists Debunk 15 More Teeth Myths | Debunked,2022-03-13T18:00:17Z,2651549,64739,2948,Mar,RvFsAZpUiM0
18,Doctors Debunk 8 Myths About Seasonal Allergies | Debunked,2022-02-27T19:00:18Z,134071,3916,219,Feb,VlEF5KwxJ3U
19,How sulfur is mined in active volcanoes #shorts,2022-02-16T19:00:30Z,34166,2103,50,Feb,rzN6M1cfpdM
20,Cardiologists Debunk 12 Heart Myths | Debunked,2022-02-13T19:00:15Z,449117,10481,2441,Feb,woh01kAbrTY
21,How sea sponges are harvested #shorts,2022-02-09T19:00:31Z,15502,519,50,Feb,yPWv3-ERlAc
22,Mental Health Experts Debunk 10 Stress Myths | Debunked,2022-01-30T19:00:17Z,434352,11640,502,Jan,u8rYWQ4-u1E
23,We Dissolved Fossils To Prove Dinosaurs Were Warm Blooded | Science Skills,2022-01-27T00:09:06Z,403974,12254,875,Jan,nBqd_V418Kg
24,Hair Experts Debunk 15 Hair Myths | Debunked,2022-01-09T19:00:10Z,2812138,68744,1592,Jan,WQ9zqq8ere0
25,How wind turbines are recycled,2021-12-29T19:00:08Z,1220156,45769,1452,Dec,LkLFmMAjrvM
26,Dietitians Debunk 10 Sugar Myths | Debunked,2021-12-26T19:00:03Z,504951,15928,2449,Dec,AM_Dhssz6AM
27,How hearing aids are made,2021-12-22T19:02:54Z,28528,691,37,Dec,bx4RN5scS_0
28,How cement tiles are made from black carbon,2021-12-15T20:00:12Z,11844,342,23,Dec,nMaLyAujusY
29,Neurologists Debunk 11 Headache And Migraine Myths | Debunked,2021-12-12T19:00:03Z,560293,15964,1071,Dec,Ab3nSeTc6I4
30,Why Ticks Are Spreading,2021-12-01T19:00:17Z,510348,17181,252,Dec,WFWMgjwAjMQ
31,Pilots Debunk 11 Flying Myths | Debunked,2021-11-28T19:00:00Z,187138,6665,368,Nov,-aFlVEjCda4
32,"How Lava Reacts To Crystals, Water, Ice, And Metal | Science Skills",2021-11-21T19:00:06Z,167411,1987,63,Nov,QKMJUJyGqws
33,Doctor Explains Earwax Removal | Boddities,2021-11-19T19:00:13Z,91183,1335,93,Nov,eFTT0O8OqNY
34,Coffins Are Made Of Mushrooms,2021-11-17T19:00:02Z,4385924,260982,7755,Nov,6S2rz6j8w4E
35,Allergists Debunk 11 Food Allergy Myths | Debunked,2021-11-14T19:00:20Z,669473,13981,1360,Nov,civyA2P3Cs4
36,How Far Scientists Go To Create Your Face From Your DNA | Science Skills,2021-11-02T18:00:07Z,52798,1779,67,Nov,Nh4ME_l6oLA
37,Exterminator And Pest Expert Debunk 15 Pest Myths | Debunked,2021-10-31T21:00:00Z,397222,9076,570,Oct,1Hgm3AhsAJw
38,Insider At COP26: Accelerating Action to Combat Climate Change,2021-10-28T17:01:37Z,7905,150,12,Oct,kZcDSHGqOM4
39,OB-GYNs Debunk 16 Postpartum And Breastfeeding Myths | Debunked,2021-10-17T18:00:10Z,2392552,33273,2361,Oct,cD1wKMSOqD8
40,Pediatricians Debunk 13 Myths About Teens | Debunked,2021-09-19T18:00:03Z,764874,29646,2027,Sep,MEXCDsztoik
41,How Scientists Make Their Own Lava,2021-09-15T17:26:27Z,21379,715,42,Sep,oWVyvypQ3M0
42,What Homes On Mars Could Look Like,2021-09-09T19:09:32Z,237118,15450,515,Sep,1TGHdtm_FnY
