,Title,Published_date,Views,Likes,Comments,Month,ID
0,How Different Species of Fireflies Blink - Smarter Every Day 274,2022-06-20T14:00:05Z,790562,42836,2735,Jun,ktp62UtKy1c
1,"Prince Rupert's Drop EXPLODING in Epoxy Resin at 456,522 fps - Smarter Every Day 273",2022-05-29T14:00:03Z,3307023,119865,8494,May,X3o71W4uNHc
2,Why Jet Boats are AWESOME (U.S. Coast Guard's Workhorse) - Smarter Every Day 272,2022-04-29T14:04:00Z,1727025,68878,3957,Apr,uFzuRm3wCDk
3,How Does Kodak Make Film? (Kodak Factory Tour Part 1 of 3) - Smarter Every Day 271,2022-03-19T14:02:17Z,2546444,77893,5282,Mar,HQKy1KJpSVc
4,Why Are there Holes in the James Webb Sunshield? (Explained by My Dad) - Smarter Every Day 270,2022-03-01T05:28:36Z,2462283,88513,5436,Mar,Pu97IiO_yDI
5,Orphanage built with money raised on YouTube (Update) - Smarter Every Day 269,2022-02-25T18:43:39Z,424609,29629,964,Feb,L9a-yhJO0Mw
6,Why This Zig-Zag Coast Guard Search Pattern is Actually Genius - Smarter Every Day 268,2022-01-18T15:36:30Z,5229352,163894,8182,Jan,aoXJfuPaFF8
7,What does a Gong Sound Like when Hit with a 1189mph Baseball? - Smarter Every Day 267,2021-12-07T15:00:14Z,5552921,199753,16854,Dec,at-xZA5U1ps
8,YouTube is Changing - Smarter Every Day 266,2021-12-01T14:00:24Z,1667396,108896,8641,Dec,ZVaUoyabjAg
9,When you call the US Coast Guard - Smarter Every Day 265,2021-11-16T02:46:19Z,1652034,79488,3448,Nov,fU_pilTk624
10,"1,074 MPH BASEBALL vs. 1 Gallon of Mayonnaise - Smarter Every Day 264",2021-10-28T14:15:08Z,2831215,102912,10072,Oct,pAOCiNhQW2Y
11,Is Your Privacy An Illusion? (Taking on Big Tech) - Smarter Every Day 263,2021-10-21T14:37:16Z,1733733,164088,13001,Oct,KMtrY6lbjcY
12,How Does The James Webb Space Telescope Work? - Smarter Every Day 262,2021-10-01T05:15:01Z,3374893,137788,8350,Oct,4P8fKd0IVOs
13,How Carburetors are Made (Basically Magic) - Holley Factory Tour | Smarter Every Day 261,2021-08-21T04:33:53Z,2248529,86657,6060,Aug,1_hFKRDDP_o
