,Title,Published_date,Views,Likes,Comments,Month,ID
0,WHAT ELSE CAN A JET ENGINE AFTERBURNER DO?!,2022-06-28T21:30:12Z,260353,11214,1510,Jun,EP4Hf63zR6w
1,SHOULD SPEAKERS THIS GOOD BE LEGAL?,2022-06-15T21:30:10Z,256661,11980,2015,Jun,GslJ8Hf4WwE
2,We Just Got Scammed!,2022-06-04T20:39:17Z,429717,30477,5106,Jun,qF4qpjYNepY
3,You're Swimming in Radiation... And you don't even know it!,2022-04-20T21:30:10Z,113277,10293,1761,Apr,ZlvK5OlGF2A
4,CUT YOUR TV DISPOSAL COST... IN HALF!,2022-04-03T21:01:57Z,69917,2655,2162,Apr,IWluJHyzgXs
5,You're not protected from microwaves... yet,2022-03-20T20:34:01Z,110248,8810,1682,Mar,UC3O6B_K9Us
6,Defeating Microwave Weapons!,2022-03-05T15:48:48Z,464700,29239,5762,Mar,Lg_aUOSLuRo
7,How Much Money Do You Burn Idling?,2022-01-31T22:15:11Z,71051,6853,1975,Jan,kNiapuA0yTQ
8,"""We"" finally gave in and cleaned it! - TI Sunday #shorts",2022-01-16T23:31:22Z,55876,1882,272,Jan,TaoQ8DmspS8
9,CONCENTRATING LEMON OIL LEADS TO A VISIT TO THE HOSPITAL!,2022-01-11T22:00:12Z,311260,19011,2842,Jan,hZT6r1CC6hs
10,How to Build a Solar Concentrator!,2021-12-30T22:27:45Z,112467,6369,830,Dec,knlQFlxCwrs
11,CHRISTMAS LIGHTS MADE IN A LAB!,2021-12-17T21:17:18Z,97385,6083,839,Dec,lgE6BVDl3mw
12,Get 4X The Power From Your Solar Panels! - TI Sunday,2021-12-12T23:47:32Z,551517,39322,4345,Dec,FKhszB4E1_M
13,Why Blimps are the Future! - Trailer,2021-12-09T22:53:16Z,48526,1925,660,Dec,RT3J-BHvOqg
14,How NOT to Clean a Fish Tank! - TI Sunday #shorts,2021-12-05T21:43:49Z,54801,1967,205,Dec,-UBmhj15nT0
15,MAKING GRAPHENE IN A FLASH! - TI Sunday #shorts,2021-11-28T23:35:27Z,56688,2904,280,Nov,-z-GHSVFwTU
16,ONE SECOND BEFORE IMPACT!,2021-11-21T21:23:38Z,79655,5312,510,Nov,T3DqSLbOOsQ
17,WHEN TESTING TORPEDOES GOES WRONG! - TI Sunday #shorts,2021-11-14T23:26:11Z,124845,6216,283,Nov,edRRe7JHn3E
18,Should You Really Use Solar Panels?,2021-11-10T23:18:59Z,337149,19902,3650,Nov,5g5PW78XMSo
19,Don't Try This At Home! - TI Sunday #shorts,2021-11-07T20:19:28Z,54562,1982,102,Nov,aBoXKNngqx0
20,Making Hard Cider for Halloween!,2021-10-30T01:05:14Z,78134,8366,1021,Oct,Db5695tjyig
21,Make Our Best Thermal Paste... YOURSELF!,2021-10-22T22:05:14Z,260125,15304,2270,Oct,8RJ-vLLwDPU
22,DID WE JUST MAKE THE WORLD'S BEST THERMAL PASTE!?,2021-09-10T22:30:34Z,283907,19320,3582,Sep,Glfak2B9J5U
23,QUICKEST WAY TO START A FIRE! #shorts,2021-09-02T19:00:46Z,153030,9696,675,Sep,-3U5R7vKKhs
24,Our Most Powerful Rocket EVER! Upsets Local Official!,2021-08-26T21:48:14Z,199825,16117,2030,Aug,uHPJSgVbdtI
25,Preparing Our DIY Rockets For Testing!,2021-08-15T13:52:03Z,57758,5132,729,Aug,aotOiYkf95c
26,How Are Rocket Nozzles Made?,2021-08-06T19:00:14Z,108717,6117,1008,Aug,PD6XpFfR68E
27,Mixing Nitrous and Rockets is DANGEROUS... But Really FUN!,2021-07-16T22:56:17Z,154159,11040,1433,Jul,AFyzTqhM6is
28,Using Our Rockets to Push a 1-TON Trailer!,2021-06-04T15:27:16Z,273847,13283,1779,Jun,QOg-CdfRImU
29,Is Air Cooled Actually Better Than Liquid Cooled? - A/C Computer,2021-04-16T17:00:12Z,85914,6264,1553,Apr,27Jg0Qa6mts
30,Making Vanilla Flavored Rum! - Part 2,2021-03-31T21:33:04Z,182013,12157,1568,Mar,NZwJeexS5yk
31,Making Flavored Rum | Easy and Cheap! - Part 1,2021-03-19T22:26:03Z,349152,15406,1674,Mar,0UlUbeaBCTg
32,"Rocket Igniters at 10,000fps!",2021-03-04T15:46:10Z,40688,3259,531,Mar,CR5qk5lhAVs
33,Rocket Ignition System On Steroids!,2021-02-19T22:38:57Z,113071,7995,1225,Feb,N3Hn9m183Q8
34,Distilling ALCOHOL With Our New Reflux Still!,2021-01-28T22:16:31Z,705877,31371,3525,Jan,oBHIc6LwH6o
35,Overclocking Our Computer For Free!,2021-01-16T17:31:52Z,120966,10213,1838,Jan,DWVfaxqTyl4
36,Igniting Our Own Rocket Engines - DIY,2021-01-01T22:10:41Z,185613,14417,1367,Jan,OiAlUojF3Wo
37,DIY Rocket Engines - Easy and Cheap!,2020-12-24T00:18:33Z,1918859,50062,4772,Dec,nPM3KcHzN6I
38,World's Best Slow Motion Camera... For The Money,2020-12-11T22:03:08Z,66297,3639,432,Dec,2egYcX_9FKI
39,How Our Boat Rudders Are Built,2020-11-24T16:31:41Z,52173,4092,514,Nov,Mq_PA_R48PE
40,DEFEATING LRAD,2020-11-12T15:00:44Z,467129,22203,4191,Nov,CXKTBQBugIA
41,"LRAD vs ""Volunteers"" - Field Test",2020-11-05T21:50:17Z,141275,4859,836,Nov,Gi3WBwR8yeo
42,We Went Back In Time To Make Our Boat Go Faster...,2020-10-30T20:39:41Z,85400,5404,994,Oct,jYoS8JnCZpw
43,Best LRAD System!... For Your Money,2020-10-21T20:18:14Z,426865,20351,2635,Oct,y7UZHEHhdek
44,DIY Speakers and Acoustic Panels,2020-09-25T20:43:28Z,354325,12294,1881,Sep,jjZHFIdfUFk
45,Taking the Tesla Boat out on the water!,2020-08-28T23:16:34Z,152918,6742,1175,Aug,8qXxXzXERKU
46,Vacuum pump with NO moving parts,2020-07-30T20:42:28Z,153835,10607,1347,Jul,bcP72NN6bTA
47,The Best Moments From Tech Ingredients!,2020-07-17T17:58:58Z,115050,2987,377,Jul,bRr8lrUc-GI
48,DON'T TRY THIS AT HOME!,2020-07-02T22:40:35Z,286819,18414,2325,Jul,24Dz5THmfrw
49,"No, we didn't use Magic to Crush this Can...",2020-06-17T18:34:08Z,700377,28464,3130,Jun,-2QaTyDJDEI
50,Powerful Dry Ice Fog Machine!,2020-05-30T15:03:22Z,59729,3866,635,May,GuWQ1eEguM4
51,Extreme Dry Ice Smoke Machine!,2020-05-15T16:56:25Z,50994,4468,725,May,A-dBLQ8yPJY
52,Fun with Plasma Tubes!,2020-05-02T15:30:15Z,664649,23249,4183,May,zcpDGKH9_SE
53,Obtaining Alcohol and Treating Masks,2020-04-10T20:52:58Z,98413,8158,1633,Apr,CQ1PNXa_LaI
54,"Reusing Masks, Ozone and UV Decontamination",2020-03-27T19:57:38Z,188089,13044,3345,Mar,2UdtKssU7po
55,"Masks, Gloves and Making Disinfectants!",2020-03-20T21:39:11Z,157511,13305,2150,Mar,kLWBG_fbJR0
56,Scientific Approach to Avoid Coronavirus COVID-19,2020-03-13T17:17:38Z,552794,23031,3610,Mar,I0Ae0mjMljs
57,Our Thermal Epoxy vs Store-bought,2020-02-27T21:20:02Z,287682,20329,4275,Feb,8MOTMq9g8Nk
58,Super Strong Epoxy with Diamonds and More!,2020-02-14T22:48:57Z,227744,18093,2569,Feb,6KjlyXKeo8c
59,Shaking Buildings Over a Mile Away!,2020-01-17T20:30:45Z,916589,46085,6198,Jan,l9CI6KSV560
