,Title,Published_date,Views,Likes,Comments,Month,ID
0,I *TRIED* Selling my 4 GAMING PCs at a Japanese Free Market (Car Boot Sale),2022-07-07T09:34:36Z,9367,1019,166,Jul,7wDBghHrP-A
1,Is this Worth $250? The ASRock DeskMeet B660 ITX Review!,2022-07-06T06:15:00Z,19358,1276,210,Jul,AhW8OE_tiUc
2,What's the BEST VALUE 6 CORE CPU in 2022?,2022-07-02T01:29:22Z,31431,2063,450,Jul,OlYs52WK8FE
3,Why creators NEED an iGPU alongside their dGPU - Intel QuickSync,2022-06-28T23:19:15Z,23201,1511,269,Jun,mi8xlCz42CM
4,Buying up USED GPUs FINALLY under MSRP ;) (JUN 2022's PC Parts Hunt),2022-06-27T13:01:48Z,40932,2043,395,Jun,CxsPGf8xwq8
5,"Intel ARC A380 6GB GPU Launches, Though why ONLY in China?",2022-06-24T07:31:14Z,33576,1759,267,Jun,dCglQMAHbQc
6,GPU Prices are COLLAPSING as a Crypto Miners FLOOD the Market.,2022-06-23T07:28:28Z,864254,14240,3154,Jun,sT2exwYIYC4
7,UNDER $1500 AUD Intel 12th Gen PC Build CHALLENGE - Tech YES City Vs. Gearseekers,2022-06-22T07:58:58Z,15366,1160,162,Jun,QBugQ7y1l9s
8,How to Build the BEST $1050 Ryzen 5 5500 / RX 6750 XT Gaming PC (Ft. Antec DF800 Flux),2022-06-20T21:15:00Z,18324,1044,292,Jun,6iYu6-HKFDY
9,How to UNDERVOLT Ryzen 5000 series CPUs (FULL Tutorial),2022-06-17T21:15:02Z,31316,1735,504,Jun,xmQV1ZM_WmU
10,Crypto CRASHING Means the USED SELL OFF is here! | NVidia vs AMD in 2022,2022-06-14T03:18:32Z,21018,1165,249,Jun,hFU-UscvS8Q
11,Crypto CRASHING Means the USED SELL OFF is here! | NVidia vs AMD in 2022,2022-06-14T03:13:46Z,0,3,0,Jun,GMXLCq5MVXw
12,How I setup Free Internet for my Family (Bridging Comfast CPE Outdoor Wireless Units),2022-06-12T21:15:02Z,23725,1503,217,Jun,rts2cBisf8Y
13,How good is a $15 GTX 580 (Comparison Vs Top 5 Steam Games),2022-06-10T21:15:00Z,22081,1570,209,Jun,VgB544T00Yw
14,Fixing a $2 Coffee Machine I bought from the Junk Store - Is Café Style Coffee Possible?,2022-06-09T21:15:01Z,12506,1064,196,Jun,ceMyZL09Evo
15,Ryzen 7000... the trend of prices seriously worries me...,2022-05-31T21:15:00Z,25166,2194,778,May,Ihn2wsMG_Pk
16,Building the ULTIMATE Stealth $350 Gaming PC,2022-05-27T21:15:02Z,30533,1918,262,May,xkftHMOaZ9M
17,What's the Best BUDGET B660 Motherboard?,2022-05-24T21:15:01Z,18400,954,156,May,EdUexPcDmW8
18,I Bought a $6 PCIe x16 Riser Cable For GAMING.... Was it a MISTAKE?,2022-05-23T05:15:00Z,18254,1272,103,May,dywaRvJVbw0
19,"I Bought 10 ""JUNK"" Used Power Supplies off Yahoo Auctions!",2022-05-21T21:15:00Z,25501,1644,188,May,R2a2jD3g3mY
20,FIXING MY JAPAN APARTMENTS RADIATION,2022-05-19T21:15:02Z,20560,1304,310,May,vxkXAeL0gGI
21,"Corsair's New HS55 Stereo, HS65 Surround and HS80 USB Gaming Headsets are SOLID.",2022-05-16T21:15:00Z,9482,643,99,May,IodJZirTKz8
22,"USED PC Parts HUNTING In ELECTRIC CITY, TOKYO!",2022-05-15T21:15:00Z,40866,2636,291,May,YprzXlR9-60
23,How I FIXED my PC CRASHING... (it would randomly freeze and shut off),2022-05-12T21:15:01Z,32200,2088,207,May,_W0r95MNOow
24,GTX 970 in 2022 - Can it STILL play the LATEST Games at 1080p High....?,2022-05-11T21:15:01Z,32743,1943,312,May,cBJXLeytGyw
25,WD Blue SN570 SSD - Solid Value nVME m.2 2280 Option for Laptop and PC Users (WDS100T3B0C),2022-05-06T00:15:37Z,17090,1023,196,May,lInEwWXDc9o
26,UNDER $300 and OVER 100 FPS Apex Legends Gaming PC,2022-05-04T17:30:00Z,33823,2213,309,May,63oPXLJ1dzQ
27,USA Vs. Japan for PC Parts Prices (Let's talk about that Inflation Outlook),2022-05-01T00:15:01Z,17790,1616,183,May,FXOsiX5SvGU
28,Bargain Hunting in Japan for USED PC Parts (April 2022),2022-04-29T13:15:03Z,55867,3605,364,Apr,m2-E0_iBOq0
29,Should you buy a Graphics Card from an Ex-Crypto Miner in 2022?,2022-04-15T21:15:01Z,37466,2057,487,Apr,lPUdgnC2S9I
30,Getting the Final USED Tech Deals before Leaving for Japan (Vlog),2022-04-12T21:15:03Z,34604,2303,335,Apr,n_xrdG33C50
31,Restoring an RTX 3070 Ti Gaming PC that was Submerged in Flood Water...,2022-04-08T21:15:01Z,154438,6488,744,Apr,kzezjc6E7_8
32,"FIXING a Flood Victim's GAMING PC, ""My PC Overheats""",2022-04-07T21:15:02Z,23688,1794,184,Apr,n3p14E4EhUQ
33,"RTX 3060 Ti Gaming PC  (12700K, Undervolting, Corsair 5000T)",2022-04-05T21:15:02Z,19317,1101,195,Apr,wkE70ZYH_oo
34,How to Build the CHEAPEST Budget Gaming PCs in 2022 (USED HUSTLE VLOG),2022-04-04T21:15:00Z,41593,2179,350,Apr,cO2tFqGIwu4
35,Corsair K70 RGB Pro Review - The END Game Keyboard?,2022-03-31T11:15:02Z,9958,563,104,Mar,bPyZj9PN5Io
36,Fitting an i9-12900K and RTX 3080 Ti in a 7.5L Mini-iTX Gaming PC 😲,2022-03-28T06:15:00Z,28467,1482,210,Mar,pqwjkT-_obk
37,Finding USED RTX 3000 Deals...! | March 2022 USED PC Parts Hunt,2022-03-24T21:15:05Z,37257,2330,359,Mar,tZlf1EmV2OA
38,I think I OVERPAID for this GTX 1080 Ti 😨 | Cutting my losses FAST,2022-03-22T21:15:00Z,59287,2560,527,Mar,aIxicKkoD-k
39,Examining Linus Tech Tips' X58 CPU Benchmark FPS Numbers,2022-03-20T21:15:01Z,48758,3504,858,Mar,5IAeTXf8TWI
